# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT
9504	TebulUre	(Muslim) pray, say or perform one's prayer	sán+sár.∼+á	s á n + s á r ∼ + á	3 7 4 9 3 7 5 4 9 7	AXN_AXLN_X	SAN_SAR9_A	14	14.S.C 14.A.V 14.N.c 14._._ 14.S.C 14.A.V 14.R.c 14.9.c 14._._ 14.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.1 0.8 0.0 1.5	0	35	s á - n + - - s á r ∼ + á
9505	Tiranige	(Muslim) pray, say or perform one's prayer	sà.àn+í+kán+ú	s àà n + í + k á n + ú	3 7 4 9 7 9 1 7 4 9 7	AXN_X_AXN_X	SAN_I_KAN_Y	15	15.S.C 15.A.V 15.N.c 15._._ 15.I.V 15._._ 15.K.C 15.A.V 15.N.c 15._._ 15.Y.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8 0.0 1.5	0	36	s àà n + í + k á n + ú
9506	TogoKan	(Muslim) pray, say or perform one's prayer	sá~sár.∼+á	s á ~ s á r ∼ + á	3 7 0 3 7 5 4 9 7	AXBCYLN_X	SA0SAR9_A	16	16.S.C 16.A.V 16.0.C 16.S.C 16.A.V 16.R.c 16.9.c 16._._ 16.A.V	2.0 1.5 1.75 1.5 1.3 1.1 0.8 0.0 1.5	0	48	s á ~ s á r ∼ + á
9507	TommoSoTongoTongo	(Muslim) pray, say or perform one's prayer	sɛ́n+ú+sɛ́n+ɛ́	s ɛ́ n + ú + s ɛ́ n + ɛ́	3 7 4 9 7 9 3 7 4 9 7	AXN_X_AXN_X	SEN_Y_SEN_E	17	17.S.C 17.E.V 17.N.c 17._._ 17.Y.V 17._._ 17.S.C 17.E.V 17.N.c 17._._ 17.E.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8 0.0 1.5	0	35	s ɛ́ - n + ú + s ɛ́ - n + ɛ́
9508	ToroTegu	(Muslim) pray, say or perform one's prayer	kár.∼+á	k á r ∼ + á	1 7 5 4 9 7	AXLN_X	KAR9_A	18	18.K.C 18.A.V 18.R.c 18.9.c 18._._ 18.A.V	2.0 1.5 1.1 0.8 0.0 1.5	1	50	k á r ∼ + á
9509	YandaDom	(Muslim) pray, say or perform one's prayer	sán+sán	s á n + s á n	3 7 4 9 3 7 4	AXN_AXN	SAN_SAN	19	19.S.C 19.A.V 19.N.c 19._._ 19.S.C 19.A.V 19.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	0	35	s á - n + - - s á - n - -
9510	YornoSo	(Muslim) pray, say or perform one's prayer	sɛ̂n+sɛ́r.∼+ɛ́	s ɛ̂ n + s ɛ́ r ∼ + ɛ́	3 7 4 9 3 7 5 4 9 7	AXN_AXLN_X	SEN_SER9_E	20	20.S.C 20.E.V 20.N.c 20._._ 20.S.C 20.E.V 20.R.c 20.9.c 20._._ 20.E.V	2.0 1.5 0.8 0.0 2.0 1.5 1.1 0.8 0.0 1.5	0	35	s ɛ̂ - n + - - s ɛ́ r ∼ + ɛ́
#
10543	BankanTey	(a) bruise (from a blow)	pú+ŋkà	p ú + ŋ k à	1 7 9 4 1 7	AX_ACZ	PY_NKA	1	1.P.C 1.Y.V 1._._ 1.N.C 1.K.C 1.A.V	2.0 1.5 0.0 2.0 1.5 0.8	0	51	p ú + ŋ k à - - - -
10544	BenTey	(a) bruise (from a blow)	pù+ŋ.ɡù+jí.ì	p ù + ŋ ɡ ù + j í ì	1 7 9 4 1 7 9 6 7 7	AX_ACZ_AXZ	PY_NKY_JII	2	2.P.C 2.Y.V 2._._ 2.N.C 2.K.C 2.Y.V 2._._ 2.J.C 2.I.V 2.I.V	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5 0.8	0	51	p ù + ŋ ɡ ù + j í ì
10545	BenTey	(a) bruise (from a blow)	ɡò+ŋ.ɡò+rò+ɡù+nú+m	ɡ ò + ŋ ɡ ò + r ò + ɡ ù + n ú + m	1 7 9 4 1 7 9 5 7 9 1 7 9 4 7 9 4	AX_ACZ_AX_AX_AX_A	KU_NKU_RU_KY_NY_M	2	2.K.C 2.U.V 2._._ 2.N.C 2.K.C 2.U.V 2._._ 2.R.C 2.U.V 2._._ 2.K.C 2.Y.V 2._._ 2.N.C 2.Y.V 2._._ 2.M.C	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0 1.5 0.0 2.0 1.5 0.0 2.0	0	64	ɡ ò + ŋ ɡ ò + r ò + ɡ ù + n ú + m
10546	DogulDomKundialang	(a) bruise (from a blow)	qqq	qqq	1	A	K	6	6.K.C	2.0	1	54	qqq
10547	DonnoSo	(a) bruise (from a blow)	ò+m.bò+ɡòdʒó+rù	ò + m b ò + ɡ ò d ʒ ó + r ù	7 9 4 1 7 9 1 7 1 3 7 9 5 7	X_ACZ_AXBCZ_AX	U_MPU_KUTSU_RY	7	7.U.V 7._._ 7.M.C 7.P.C 7.U.V 7._._ 7.K.C 7.U.V 7.T.C 7.S.C 7.U.V 7._._ 7.R.C 7.Y.V	1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.5 0.8 0.0 2.0 1.5	0	55	ò + m b ò + ɡ ò d ʒ ó + r ù
10548	JamsayDouentza	(a) bruise (from a blow)	pǔŋ	p ǔ ŋ	1 7 4	AXN	PYN	8	8.P.C 8.Y.V 8.N.c	2.0 1.5 0.8	0	56	p ǔ ŋ
10550	Mombo	(a) bruise (from a blow)	ámán+dʒè	á m á n + d ʒ è	7 4 7 4 9 1 3 7	XBYN_ACX	AMAN_TSE	10	10.A.V 10.M.C 10.A.V 10.N.c 10._._ 10.T.C 10.S.C 10.E.V	1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.5	0	57	á m á n + d ʒ è
10551	BonduSoNajamba	(a) bruise (from a blow)	ɡúɡù+lù.ù	ɡ ú ɡ ù + l ùù	1 7 1 7 9 5 7	AXBZ_AX	KYKY_LY	3	3.K.C 3.Y.V 3.K.C 3.Y.V 3._._ 3.L.C 3.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	53	ɡ ú ɡ ù + l ùù
10552	Nanga	(a) bruise (from a blow)	ɡò+n.dò+ɡò+pɛ̀+tɛ́	ɡ ò + n d ò + ɡ ò + p ɛ̀ + t ɛ́	1 7 9 4 1 7 9 1 7 9 1 7 9 1 7	AX_ACZ_AX_AX_AX	KU_NTU_KU_PE_TE	11	11.K.C 11.U.V 11._._ 11.N.C 11.T.C 11.U.V 11._._ 11.K.C 11.U.V 11._._ 11.P.C 11.E.V 11._._ 11.T.C 11.E.V	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0 1.5 0.0 2.0 1.5	0	58	ɡ ò + n d ò + ɡ ò + p ɛ̀ + t ɛ́
10553	PergeTegu	(a) bruise (from a blow)	pù+ŋ.ɡú	p ù + ŋ ɡ ú	1 7 9 4 1 7	AX_ACZ	PY_NKY	13	13.P.C 13.Y.V 13._._ 13.N.C 13.K.C 13.Y.V	2.0 1.5 0.0 2.0 1.5 0.8	0	51	p ù + ŋ ɡ ú - - - -
10554	TommoSoTongoTongo	(a) bruise (from a blow)	dʒá+ŋ.ɡí+jí+lé	d ʒ á + ŋ ɡ í + j í + l é	1 3 7 9 4 1 7 9 6 7 9 5 7	ACX_ACZ_AX_AX	TSA_NKI_JI_LE	17	17.T.C 17.S.C 17.A.V 17._._ 17.N.C 17.K.C 17.I.V 17._._ 17.J.C 17.I.V 17._._ 17.L.C 17.E.V	2.0 1.5 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	60	d ʒ á + ŋ ɡ í + j í + l é
10555	ToroTegu	(a) bruise (from a blow)	kú+ŋkà	k ú + ŋ k à	1 7 9 4 1 7	AX_ACZ	KY_NKA	18	18.K.C 18.Y.V 18._._ 18.N.C 18.K.C 18.A.V	2.0 1.5 0.0 2.0 1.5 0.8	0	61	k ú + ŋ k à
10556	YandaDom	(a) bruise (from a blow)	sìn+zùpɔ́+dʒú	s ì n + z ù p ɔ́ + d ʒ ú	3 7 4 9 3 7 1 7 9 1 3 7	AXN_AXBZ_ACX	SIN_SYPU_TSY	19	19.S.C 19.I.V 19.N.c 19._._ 19.S.C 19.Y.V 19.P.C 19.U.V 19._._ 19.T.C 19.S.C 19.Y.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.5	0	62	s ì n + z ù p ɔ́ + d ʒ ú
10557	YornoSo	(a) bruise (from a blow)	dʒàr.∼ìj~	d ʒ à r ∼ ì j ~	1 3 7 5 4 7 6 0	ACXMBYLN	TSAR9IJ0	20	20.T.C 20.S.C 20.A.V 20.R.c 20.9.C 20.I.V 20.J.c 20.0.c	2.0 1.5 1.5 1.1 1.75 1.3 1.1 0.8	0	63	d ʒ à r ∼ ì j ~
#
13090	BenTey	(a) guard, watchman	ɔ̀r.∼ɔ̀ɡɔ̀+j.∼ú+m	ɔ̀ r ∼ ɔ̀ ɡ ɔ̀ + j ∼ ú + m	7 5 4 7 1 7 9 6 4 7 9 4	XMBYBZ_ACZ_A	UR9UKU_J9Y_M	2	2.U.V 2.R.c 2.9.C 2.U.V 2.K.C 2.U.V 2._._ 2.J.C 2.9.C 2.Y.V 2._._ 2.M.C	1.5 1.1 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8 0.0 2.0	0	65	ɔ̀ r ∼ ɔ̀ ɡ ɔ̀ + j ∼ ú + m
13091	DonnoSo	(a) guard, watchman	jàlù+kádù+bìnɛ̀	j à l ù + k á d ù + b ì n ɛ̀	6 7 5 7 9 1 7 1 7 9 1 7 4 7	AXBZ_AXBZ_AXBZ	JALY_KATY_PINE	7	7.J.C 7.A.V 7.L.C 7.Y.V 7._._ 7.K.C 7.A.V 7.T.C 7.Y.V 7._._ 7.P.C 7.I.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	66	j à l ù + k á d ù + b ì n ɛ̀
13092	JamsayDouentza	(a) guard, watchman	dì.ì~tí+ɡén	d ìì ~ t í + ɡ é n	1 7 0 1 7 9 1 7 4	AXBCZ_AXN	TI0TI_KEN	8	8.T.C 8.I.V 8.0.C 8.T.C 8.I.V 8._._ 8.K.C 8.E.V 8.N.c	2.0 1.5 1.75 1.5 0.8 0.0 2.0 1.5 0.8	0	67	d ìì ~ t í + ɡ é n
13093	Mombo	(a) guard, watchman	nɔ̀d+jànɔ́+dí	n ɔ̀ d + j à n ɔ́ + d í	4 7 1 9 6 7 4 7 9 1 7	AXN_AXBZ_AX	NUT_JANU_TI	10	10.N.C 10.U.V 10.T.c 10._._ 10.J.C 10.A.V 10.N.C 10.U.V 10._._ 10.T.C 10.I.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	68	n ɔ̀ d + j à n ɔ́ + d í
