code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,subsubcode #,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,6.0,"cow, heifer","génisse, vache",11.0,,,old,,"heifer, young cow (not yet a mother)","génisse, jeune vache (qui n'a pas encore mis bas)",2.0,nàŋà-yà gìrěy,nà: gùrɔ̌-m,wí:gɛ̀-m\\wí:gɛ̀,"nàŋà gùrá, nàŋà yà-gùrá",nàŋà-gùlɔ́,naŋagurɔ,nàŋà gùrɔ́,,,,nàŋà gùrɔ́,nà: gùlɔ́,,,,nàà gùlɔ̌y,,,,nà: gùlɔ̀\\-mù,nɛ̀: gúlɛ̀\\nàwò: gúlɛ̀-mbò,,nà: wíyây,,,,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,7.0,bull,taureau,12.0,,,old,,bull,taureau,2.0,nàŋà-àrá,nà: árⁿà-m,,nàŋà árⁿâ,nàŋà àná,naŋaarⁿa,nàŋà àrⁿá,,,,nàŋà àrⁿá,nà: àrⁿá,nàʔⁿà-jùŋgú,,,nàà àná,,nààgù ánà,nà: árⁿá,,nɛ̀: ánè\\nàwò: ánà:,,nà: wálá,,,,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,8.0,"bull, ox",bœuf,13.0,,,old,,bull (castrated),taureau (castré),2.0,nàŋà-àrà pɔ́lù,nà: pɔ̀rú-m,nà:-árⁿà-m\\nà:-árⁿà,nàŋà pɔ̀rí,nàŋà pɔ̀r-ú,naŋapɔru,nàŋà pɔ̀rú,nàŋà pɔ̀rú,,,nàŋà pɔ̀rú,nà: pɔ̀rú,nàʔⁿà-hɔ̀rú,,,nàà pɔ̀rú,"nà:g pɔ̌r, nà:g pɔ̀r-yà-ŋ́",,nà: pɔ̀rɛ̌:\\pɔ̀rù-mbɔ́,nà: pɔ̀dù\\-mù,nɛ̀: pòrá\\nàwò: pòrá-mbó,,nà: kámbì,,,,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,9.0,bull,taureau,14.0,,,old,,bull (uncastrated),taureau (non castré),2.0,"nàŋà-àrà bòbògú, nàŋà-àrà jǐw",nà: jàŋgú-m,nà:-jǐ-m\\nà:-jǐ:,nàŋà jàŋí,nàŋà kálàndù (stud),naŋajaŋ,nàŋà jǎŋ,nàŋà jǎŋ,,nàŋà jǎŋ,nàŋà jàŋú,nà: jàŋú,,,,nàà jǎm,nà:g pɔ̀rǎ:-n,,nà: zànjɛ̌:\\zàŋù-mbɔ́,nà: zànjù\\-mù,nɛ̀: jàŋá\\nàwò: jàŋá-mbó,,nà: wálá,,,,,,,,,,,,,,,,,,,
animal,cattle,animal,bovin,1.0,4.0,10.0,bull,taureau,15.0,,,old,,"bull (uncastrated, young, not yet a stud)","taureau (non castré, jeune)",3.0,,nà: já: kírìm,,nàŋà kóróbórì,,"korobori,koroboy","nàŋà kóróbó:rì, nàŋà kóróbôy",nàŋà kórógôy,,,,nà: àrⁿà-tâ:n,,,,,,,,kóròbòrì,nɛ̀: bóndè\\nàwò: bóndù-mbò,,,,,,,,,,,,,,,,,,,,,
animal,dog,animal,chien,1.0,5.0,1.0,dog,chien,16.0,,,old,basic,dog,chien,1.0,nènú,ìnjɛ̌-m\\ìnjɛ́,ǹjèrû-m\\ǹjèrú,nɛ̀rⁿî,ìdú,iju,ìjú,ìšú,ìzú,ìjú,ìsí,ìjú,ʔùjù,ùjù,xxx,ìsé,ùŋɔ́-ŋ́ (pl ùŋɔ́ⁿ yà:),úŋɔ̀,ìnjɛ̌:\\ìnjɛ̀-mbɔ́,"ìnjɛ̀\\-mù, ǹjɛ̀\\-mù",ŋ̀gwɛ̌:\\ŋ̀gwɛ̀:-mbó,í:njɛ́ ~ í:ŋgɛ́,ínjɛ̀,ìjɛ́ (ìjɛ́ gè),ʔínjɛ̀,ŋkɛ̀,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,1.0,goat,chèvre,17.0,,,old,,goat,chèvre,1.0,ɛ̀rⁿá,bɛ́rì-m ~ bɛ́rù-m\\bɛ́rù,bɛ́rù-m\\bɛ́rù,"bɛ́rî, mírⁿê ~ mɛ́rⁿɛ̂",ɛ̀nɛ́,"bɛru,bɛnna,ɛrⁿɛ","bɛ̀rú, bɛ̀n-ná:, ɛ̀rⁿɛ́",ɛ̀rⁿɛ́,bɛ̀rú,bɛ̀rú,ɛ̀rⁿɛ́,ɛ̀rⁿɛ́,gɛ́,gɛ́:,xxx,ɛ̀nɛ́,ínà:,ínàà,írⁿè:\\írⁿì-mbɔ̀ ~ ín-bɔ̀ (sg also ìn before adjective),ʔə́nɛ́\\-mù,ínè\\ínà:,ùnà,úná,,kílɔ̀,úná (ɲ-),,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,2.0,goat kid,"cabri, chevreau",18.0,,,old,,goat kid,"cabri, chevreau",3.0,ɛ̀rⁿà-[ìrⁿ-í:],bɛ̀r yí-m,bɛ̀r-yî-m\\-yî:,bɛ̀r-yî:,ɛ̀nɛ̀-î:,bɛrⁿiⁿ,bɛ̀rⁿ-î:ⁿ,,,,ɛ̀rⁿ-í:ⁿ,ɛ̀rⁿɛ̀-î:,,,,ɛ̀nɛ̀ íí,,ìnàà égù,ìn-ɛ̀dɛ́,ʔə̀n-íyè,nà:jî:\\nà:jû:,,úná wé:,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,3.0,goat (female),chèvre (femelle),19.0,,,old,,"nanny-goat, she-goat",chèvre (femelle),3.0,ɛ̀rⁿà-yá,bɛ̀r yǎ-m,bɛ̀rù yǎ-m,,,bɛnna,bɛ̀n-ná:,,,,ɛ̀rⁿɛ̀ ná:,ɛ̀rⁿɛ̀ yǎ:,,,,ɛ̀nɛ̀ yàá,,,,ʔə̀nɛ̀-yɛ̀\\-mù,ìnè yɛ̌:\\ìnà: yàwó:,,úná yɔ̂:,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,4.0,goat (female),chèvre (femelle),20.0,,,old,,nanny-goat (not yet a mother),chèvre femelle (qui n'a pas encore mis bas),3.0,ɛ̀rⁿà-yà gìrěy,bɛ̀r gùrɔ̌-m,,mìrⁿè gùrá,ɛ̀nɛ̀ gùlɔ́,bɛrgurɔ,bɛ̀r gùrɔ́,,,,ɛ̀rⁿɛ̀ gùrɔ́,ɛ̀rⁿɛ̀-gùlɔ́,,,,ɛ̀nɛ̀ gùlɔ̌y,,,,ʔə̀nɛ̀ gùlɔ̀,ìnè gúlɛ̀\\ìnà: gúlɛ̀-mbò,,ùnà gúlá,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,5.0,goat (male),bouc,21.0,,,old,,"billygoat, male goat","bouc, chèvre mâle",2.0,ɛ̀rⁿà-àrá,"bɛ̀r-àjǐ-m\\bɛ̀r-àjǐ:, bɛ̀r árⁿà-m",,bɛ̀r árⁿà,ɛ̀nɛ̀ àná,"bɛraji,bɛruarⁿa","bɛ̀r-àjí:, bɛ̀rù-àrⁿá",,bɛ̀rù àgí:,,ɛ̀rⁿɛ̀ àrⁿá,ɛ̀rⁿɛ̀ àrⁿá,gɛ̀-jí:,,,ɛ̀nɛ̀ àná,,,ìnè árⁿá,ʔə̀nɛ̀ án,ìnè ánè\\ìnà: ánà:,,ùnà wálá,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,6.0,goat (male),bouc,22.0,,,old,,billygoat (castrated),bouc (castré),2.0,ɛ̀rⁿà-àrà pɔ́lù,bɛ̀r pɔ̀rú-m,,bɛ̀r pɔ̀rí,ɛ̀nɛ̀ pɔ̀r-ú,bɛrpɔru,bɛ̀r pɔ̀rú,ɛ̀rⁿɛ̀ pɔ̀rú,,,ɛ̀rⁿɛ̀ pɔ̀rú,ɛ̀rⁿɛ̀ pɔ̀rú,,,,ɛ̀nɛ̀ pɔ̀rú,,,ìn pɔ̀rɛ̌:\\pɔ̀rù-mbɔ́,ʔə̀nɛ̀ pɔ̀dù\\-mù,ìnè pɛ̀rɛ̀ŋgɛ́\\ìnà: pɛ̀rɛ̀ŋgɛ́-mbó,,ùnà tɛ̀bùlɛ́,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,7.0,goat (male),bouc,23.0,,,old,,billygoat (emasculated by crushing),bouc (émasculé en l'écrasant),2.0,bɛ̀l-àrà pɔ́lù,pɛ̀rè pɔ̀rú-m,,bɛ̀r tùmbí,,,bɛ̀r tǔm,àjì: tùmbú,,,,ɛ̀rⁿɛ̀ kàmú,,,,"ɛ̀nɛ̀ dúmbú, ɛ̀nɛ̀ kálá píyáàrì",,,,ʔə̀nɛ̀ kàmbù\\-mù,ìnè dùmbɛ́-bà:\\ìnà: dùmbɛ́-bà:-mbò,,ùnà wàlà kámbì,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,8.0,goat (male),bouc,24.0,,,old,,billygoat (uncastrated),bouc (non castré),2.0,ɛ̀rⁿà-àrà bòbògú,"bɛ̀r-àjǐ-m\\bɛ̀r-àjǐ:, àjǐ:-m\\àjǐ:",bɛ̀r-gǐ-m\\-gǐ:,"bɛ̀r ɛ̀ndɛ̀gí, ɛ̀ndɛ̀gí",ɛ̀nɛ̀ kálàndù (stud),"bɛraji,aji","bɛ̀r-àjí:, àjí:",àjí:,,,ɛ̀rⁿɛ̀ jàŋú,ɛ̀rⁿɛ̀-àkí:,,,,"ɛ̀nɛ̀ jǎm, ɛ̀nɛ̀ gíy",,,ìn zànjɛ̌:\\zàŋù-mbɔ́,ʔə̀nɛ̀ cènù\\-mù,ìnè ě:bè\\ìnà: ě:bù:,,ùnà wálá,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,9.0,goat breed,chèvre (race),25.0,,,old,,a breed of goats (the most common breed locally),race de caprins (la plus nombreuse dans la zone),3.0,,,,bɛ̀r dé:,,bɛnna,bɛ̀n-ná:,,,,,dɔ̀gɔ̀-ɛ̀rⁿɛ́,,,,"tìbé ɛ̀nɛ̀, dɔ̀gɔ̀ ɛ̀nɛ́",,,,bɛ̀lɛ̀-ʔə́nɛ́,ìnè gìndɛ́:\\ìnà: gìndɔ́:,,,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,10.0,goat breed,chèvre (race),26.0,,,old,,a breed of goats (small),race de caprins (de petite taille),3.0,ɛ̀rⁿà cɛ́tɛ̀,bɛ̀r cɛ́tɛ́-m,bɛ̀r kɛ́tɛ́-m\\-kɛ́tɛ́,"bɛ̀r dègé, bɛ̀r kédé:jì",,bɛrcɛtɛ,bɛ̀r cɛ̀tɛ́,,,,,ɛ̀rⁿɛ̀ kɛ́tɛ̀,,,,"ɛ̀nɛ̀ dégé, ɛ̀nɛ̀ dùmbì-ý, bɔ̀ɔ̀bɔ̀ ɛ̀nɛ́",,,,dɔ̀gɔ̀-ʔə́nɛ́,ìnè kègélè\\ìnà: kègêl-mbò,,ùnà mérè,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,11.0,goat breed,chèvre (race),27.0,,,old,,a breed of goats (small ears),race de caprins (à petites oreilles),3.0,ɛ̀rⁿà cɔ́ddà,bɛ̀r sù:rⁿù pé:-m,,"bɛ̀r-pé:, mìrⁿè sùŋùnù pé:",,bɛrpiwe,bɛ̀r píwé,,,,,,,,,ɛ̀nɛ̀ sùgùlù téré,,,,,ìnè dánà-mènjì:\\ìnà: dánà-mènjù-mbò,,ùnà súgúlì kúmɛ́mɛ̀,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,12.0,goat breed,chèvre (race),28.0,,,old,,a breed of goats (thick-haired),race de caprins (à poils denses),3.0,ɛ̀rⁿà cápà,jámbé-m\\jámbé,bɛ̀r sàpó-m\\sàpó,bɛ̀r-jámbè,,"capɔ,cafɔ","cápɔ̂:, cáfɔ̂:",,,,,ɛ̀rⁿɛ̀-bìɲɛ́,,,,,,,,ʔə̀nɛ̀ cápà,"ìnè kùlɛ̀-gɛ́:\\ìnà: kùlɛ̀-gá:, ìnè sàpó\\ìnà: sàpú-mbó",,ùnà bèjé,,,,,,,,,,,,,,,,,,,
animal,goat,animal,chèvre,1.0,6.0,13.0,goat breed,chèvre (race),9570.0,yes,,2011a,,"a breed of goat (large body, large ears)","race de caprins (grosse taille, grosses oreilles)",3.0,,,,bâ:lbá:lì,,balbal,bɛ̀rù bâ:l-bâ:l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,1.0,sheep,mouton,29.0,,,old,,sheep,mouton,1.0,bɛ̀lú,pɛ̀rɛ̌-m\\pɛ̀rɛ́,pɛ̀rɛ̌-m\\pɛ̀rɛ́,pɛ̀rgɛ́,pédù,peju,pé:jú,pé:sú,pé:zú,pé:jú,péjú,péjú,pèjí,péjí,xxx,pédú,pésgè,pésìgì,péddè\\pédù-mbò,pɛ̀:\\-mú,pɛ̀gɛ́\\pɛ̀gɛ́-mbó,ámbá ~ á:ná,ánnà,,ʔálámà,àlàmùnɔ̀ (y-),,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,2.0,lamb,agneau,30.0,,,old,,lamb,agneau,2.0,bɛ̀lù-[ìrⁿ-í:],pɛ̀rɛ̀-yí-m,,pɛ̀rgɛ̀-yî:,pèdù-î:,pejiⁿ,pè:j-î:ⁿ,,,,pèj-í:ⁿ,pèjù-î:,,,,pèdù íí,,,pèddè-ɛ̀dɛ́,pɛ̌-yyè\\-mù,pɛ̀gɛ̀ èndê:\\pɛ̀gɛ̀-mbò òndô:,,ànnà wé:,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,3.0,ewe,brebis,31.0,,,old,,ewe,brebis,2.0,bɛ̀lù-yá,pɛ̀rɛ̀ yǎ-m,pɛ̀rɛ̀ yǎ-m,pɛ̀rgɛ̀ yǎ-ŋ\\yǎ:,,pejuna,pè:jù-ná:,,,,pèjù ná:,pèjù yǎ:,pèjì yà:,,,pèdù yàá,,,,pɛ̀: yɛ̀,pɛ̀gɛ̀ yɛ̌:\\pɛ̀gɛ̀-mbò yàwó:,,ánnà yɔ̂:,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,4.0,ewe,brebis,32.0,,,old,,young adult ewe (not yet a mother),jeune brebis (qui n'a pas encore mis bas),2.0,bɛ̀lù-yà gìrěy,pɛ̀rɛ̀ gùrɔ̌-m,,pɛ̀rgɛ̀ gùrá,,pejugurɔ,pè:jù gùrɔ́,,,,pèjù gùrɔ́,pèjù gùlɔ́,,,,pèdù gùlɔ̌y,,,,pɛ̀: gùlɔ̀\\-mù,pɛ̀gɛ̀ gúlɛ̀\\pɛ̀gɛ̀-mbò gúlɛ̀-mbò,,ànnà gúlá,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,5.0,ram,bélier,33.0,,,old,,ram,bélier,2.0,"bɛ̀lù-àrá, bɛ̀l-à:rá",pɛ̀rɛ̀ árⁿà-m,,pɛ̀rgɛ̀ árⁿâ,pèdù àná,pejuarⁿa,pè:jù-àrⁿá,,pè:zù àgí:,,pèjù àrⁿá,pèjù àrⁿá,pèjì-jèⁿjèⁿ,,,pèdù àná,,,,,pɛ̀g-á:nè\\pɛ̀gɛ̀-mbò ánà:,,ànnà wálá,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,6.0,ram,bélier,34.0,,,old,,ram (castrated),bélier (castré),2.0,bɛ̀l-àrà pɔ́lù,pɛ̀rè pɔ̀rú-m,pɛ̀rɛ̀-árⁿà-m\\-árⁿà,pɛ̀rgɛ̀ pɔ̀rí,pèdù pɔ̀r-ú,pejupɔru,pè:jù pɔ̀rú,,,,,pèjù pɔ̀rú,,,,pèdù pɔ̀rú,,,pèddè pɔ̀rɛ̌:,pɛ̀: pɔ̀dù\\-mù,pɛ̀gɛ̀ mɔ́rɛ́-bà:\\pɛ̀gɛ̀-mbò mɔ́rɛ́-bà:-mbò,,ànnà kámbì,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,7.0,ram,bélier,35.0,,,old,,ram (emasculated by crushing),bélier (émasculé),2.0,bɛ̀l tûw,pɛ̀rɛ̀ tùmbú-m\\tùmbú,,pɛ̀rgɛ̀ tùmbí,,pejutum,pè:jù tǔm,,,,,pèjù kàmú,,,,pèdù dúmbú,,,,pɛ̀: kàmbù\\-mù,pɛ̀gɛ̀ dùmbɛ́-bà:\\pɛ̀gɛ̀-mbò dùmbɛ́-bà:-mbò,,ànnà tɛ̀bùlɛ́,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,8.0,ram,bélier,36.0,,,old,,ram (uncastrated),bélier (non castré),2.0,"bɛ̀l-àrà jǐw, bɛ̀l-bà-jǐw","pɛ̀rɛ̀ jǐ:m, pɛ̀rɛ̀ à-jǐ:m",pɛ̀rɛ̀-jǐ-m\\jǐ:,pɛ̀rgɛ̀ jàŋí,pèdù kálàndù (stud),pejuaji,pè:jù-àjí:,,,,pèjù jàŋú,pèjù jàŋú,,,,pèdù jǎm,,,pèddè zànjɛ̌:,pɛ̀:-gàɲù\\-mú,pɛ̀gɛ̀ jàŋá\\pɛ̀gɛ̀-mbò jàŋá-mbó,,ànnà wálá,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,9.0,sheep breed,mouton (race),37.0,,,old,,"breed of sheep (large, with long ears)","race d'ovins (de grande taille, aux oreilles longues)",TD,"bɛ̀lú-bèlù, bâ:l-bâ:l",pɛ̀rɛ̀-bâ:lbá:l-ùm\\-bâ:lbâ:l,bâ:lbá:lì,"pɛ̀rgɛ̀ bâ:l, pɛ̀rgɛ̀ bâ:l-bâ:l",,"balbal,pejubalbal","bâ:lbâ:l, pè:jù-bâ:lbâ:l",,,,,bâ:l-bâ:l,,,,pèdù mɔ́nɔ́gɔ́,,,,pɛ̀: bâ:lbâ:l,pɛ̀gɛ̀ bá:lì-bá:lì\\pɛ̀gɛ̀-mbò bá:lì-bá:lì-mbò,,ànnà sùgìlì-na bâyⁿ,,,,,,,,,,,,,,,,,,,
animal,sheep,animal,mouton,1.0,7.0,10.0,sheep breed,mouton (race),38.0,,,old,,breed of sheep (mid-sized),race d'ovins (de taille moyenne),TD,bɛ̀l-ná: tôw,nɔ́:rá:jì,,,,"dɔraji,pejudɔraji","dɔ́:rá:jì, pè:jù-dɔ́:rá:jì",,,,,,,,,mɔ̀nɔ̀gɔ̀ gùnnɔ́,,,,dɔ́rà:jì,,,,,,,,,,,,,,,,,,,,,,
