ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID
8916	BenTey	(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sálù_sálá	s á/a l ù/u + s á/a l á/a		31
8917	Bunoge	(Muslim) pray, say or perform one's prayer	sɛ̀nì kánì	sɛ̀nì_kánì	s ɛ̀/ɛ n ì/i + k á/a n ì/i		24
8918	DogulDomA	(Muslim) pray, say or perform one's prayer	sɛ́ɛ̀n sɛ̀nɛ́	sɛ́ɛ̀n_sɛ̀nɛ́	s ɛ́ɛ̀/ɛː n + s ɛ̀/ɛ n ɛ́/ɛ		31
8919	DogulDomB	(Muslim) pray, say or perform one's prayer	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		24
8920	DonnoSo	(Muslim) pray, say or perform one's prayer	sɛ́nù sɛ́nɛ̀	sɛ́nù_sɛ́nɛ̀	s ɛ́/ɛ n ù/u + s ɛ́/ɛ n ɛ̀/ɛ		31
8921	Gourou	(Muslim) pray, say or perform one's prayer	sálù sálá	sálù_sálá	s á/a l ù/u + s á/a l á/a		31
8922	JamsayAlphabet	(Muslim) pray, say or perform one's prayer	salsala	salsala	s a l s a l a		29
8923	JamsayDouentza	(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â/a l + s á/a l á/a		31
8924	Mombo	(Muslim) pray, say or perform one's prayer	sàndì sándé	sàndì_sándé	s à/a ⁿd ì/i + s á/a ⁿd é/e		31
8925	Najamba	(Muslim) pray, say or perform one's prayer	sân sán	sân_sán	s â/a n + s á/a n		31
8926	Nanga	(Muslim) pray, say or perform one's prayer	sándì sándí	sándì_sándí	s á/a ⁿd ì/i + s á/a ⁿd í/i		31
8927	Penange	(Muslim) pray, say or perform one's prayer	sɛ́ndí kán	sɛ́ndí_kán	s ɛ́/ɛ ⁿd í/i + k á/a n		24
8928	PergeTegu	(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â/a l + s á/a l á/a		31
8929	TebulUre	(Muslim) pray, say or perform one's prayer	sán sárⁿá (sárⁿátì)	sán_sárⁿá_	s á/a n + s á/a r̃ á/a		31
8930	Tiranige	(Muslim) pray, say or perform one's prayer	sà:ní kán(ú)	sà:ní_kán	s à:/aː n í/i + k á/a n		24
8931	TogoKan	(Muslim) pray, say or perform one's prayer	sáⁿ sárⁿá	sáⁿ_sárⁿá	s áⁿ/a + s á/a r̃ á/a		31
8932	TommoSoTongoTongo	(Muslim) pray, say or perform one's prayer	sɛ́nú sɛ́nɛ́	sɛ́nú_sɛ́nɛ́	s ɛ́/ɛ n ú/u + s ɛ́/ɛ n ɛ́/ɛ		31
8933	ToroTegu	(Muslim) pray, say or perform one's prayer	jíŋgá:rù kárⁿú\\kárⁿá	jíŋgá:rù_kárⁿú	dʒ í/i ŋ ɡ á:/aː r ù/u + k á/a r̃ ú/u		22
8934	YandaDom	(Muslim) pray, say or perform one's prayer	sán sán	sán_sán	s á/a n + s á/a n		31
8935	YornoSo	(Muslim) pray, say or perform one's prayer	sɛ̂n sɛ́rⁿɛ́	sɛ̂n_sɛ́rⁿɛ́	s ɛ̂/ɛ n + s ɛ́/ɛ r̃ ɛ́/ɛ		31
9893	BankanTey	(a) bruise (from a blow)	púŋkà	púŋkà	p ú/u ŋ k à/a		32
9894	BenTey	(a) bruise (from a blow)	pùŋgùyî:, gòŋgòrògùnúm	pùŋgùyî:	p ù/u ŋ ɡ ù/u j î:/iː		32
9895	DogulDomB	(a) bruise (from a blow)	qqq	qqq	q q q		34
9896	DonnoSo	(a) bruise (from a blow)	òmbògòjórù	òmbògòjórù	ò/o ⁿb ò/o ɡ ò/o dʒ ó/o r ù/u		35
9897	JamsayAlphabet	(a) bruise (from a blow)	puŋ	puŋ	p u/u ŋ		32
9898	JamsayDouentza	(a) bruise (from a blow)	pǔŋ	pǔŋ	p ǔ/u ŋ		32
9899	JamsayMondoro	(a) bruise (from a blow)	pǔŋ	pǔŋ	p ǔ/u ŋ		32
9900	Mombo	(a) bruise (from a blow)	ámánjè	ámánjè	á/a m á/a ⁿdʒ è/e		39
9901	Najamba	(a) bruise (from a blow)	gúgùlù:\\gúgùlì:	gúgùlù:	ɡ ú/u ɡ ù/u l ùː/uː		40
9902	Nanga	(a) bruise (from a blow)	gòndògòpɛ̀tɛ́	gòndògòpɛ̀tɛ́	ɡ ò/o ⁿd ò/o ɡ ò/o p ɛ̀/ɛ t ɛ́/ɛ		41
9903	PergeTegu	(a) bruise (from a blow)	pùŋgú	pùŋgú	p ù/u ŋ ɡ ú/u		32
9904	TommoSoTongoTongo	(a) bruise (from a blow)	jáŋgíyílé	jáŋgíyílé	dʒ á/a ŋ ɡ í/i j í/i l é/e		43
9905	ToroTegu	(a) bruise (from a blow)	kúŋkà	kúŋkà	k ú/u ŋ k à/a		32
9906	YandaDom	(a) bruise (from a blow)	sìnzù pɔ́jú	sìnzù_pɔ́jú	s ì/i n z ù/u + p ɔ́/ɔ dʒ ú/u		45
9907	YornoSo	(a) bruise (from a blow)	jàrⁿìýⁿ	jàrⁿìýⁿ	dʒ à/a r̃ ì/i ýⁿ/ỹ		46
12209	BenTey	(a) guard, watchman	ɔ̀rⁿɔ̀gɔ̀yⁿúm	ɔ̀rⁿɔ̀gɔ̀yⁿúm	ɔ̀/ɔ r̃ ɔ̀/ɔ ɡ ɔ̀/ɔ yⁿ/ỹ ú/u m		47
12210	DonnoSo	(a) guard, watchman	yàlù[kádùbìnɛ̀]	yàlù	j à/a l ù/u		48
12211	JamsayAlphabet	(a) guard, watchman	diⁿtigen	diⁿtigen	d iⁿ/i t i ɡ e n		49
12212	JamsayDouentza	(a) guard, watchman	dì:ⁿtígén	dì:ⁿtígén	d ì:ⁿ/ĩː t í/i ɡ é/e n		49
12213	Mombo	(a) guard, watchman	nɔ̀dyà nɔ́dí	nɔ̀dyà_nɔ́dí	n ɔ̀/ɔ d j à/a + n ɔ́/ɔ d í/i		51
12214	Nanga	(a) guard, watchman	gɔ̀yⁿgɔ̌yⁿ	gɔ̀yⁿgɔ̌yⁿ	ɡ ɔ̀/ɔ yⁿ/ỹ ɡ ɔ̌/ɔ yⁿ/ỹ		52
12215	Tiranige	(a) guard, watchman	dó:ŋgé	dó:ŋgé	d óː/oː ŋ ɡ é/e		53
12216	TogoKan	(a) guard, watchman	ɲàkájúwá	ɲàkájúwá	ɲ/ɲ à/a k á/a dʒ ú/u w á/a		54
12217	TommoSoTongoTongo	(a) guard, watchman	ǹdɛ̀ dòmmù dɔ́mmínɛ́	ǹdɛ̀_dòmmù_dɔ́mmínɛ́	ǹ/n d ɛ̀/ɛ + d ò/o m m ù/u + d ɔ́/ɔ m m í/i n ɛ́/ɛ		55
12218	ToroTegu	(a) guard, watchman	mètùmétúnú	mètùmétúnú	m è/e t ù/u m é/e t ú/u n ú/u		56
12219	YandaDom	(a) guard, watchman	dɔ̀mú	dɔ̀mú	d ɔ̀/ɔ m ú/u		57
9175	BenTey	(a) sacrifice (e.g. a slaughtered animal)	sádígà	sádígà	s á/a d í/i ɡ à/a		60
9176	DogulDomA	(a) sacrifice (e.g. a slaughtered animal)	sàrágá	sàrágá	s à/a r á/a ɡ á/a		60
9177	DogulDomB	(a) sacrifice (e.g. a slaughtered animal)	sàlàmbɔ́, sárgà	sàlàmbɔ́	s à/a l à/a ⁿb ɔ́/ɔ		60
9178	JamsayDouentza	(a) sacrifice (e.g. a slaughtered animal)	sádákà	sádákà	s á/a d á/a k à/a		60
9179	Mombo	(a) sacrifice (e.g. a slaughtered animal)	sárágà	sárágà	s á/a r á/a ɡ à/a		60
9180	Nanga	(a) sacrifice (e.g. a slaughtered animal)	sárígà	sárígà	s á/a r í/i ɡ à/a		60
9181	Tiranige	(a) sacrifice (e.g. a slaughtered animal)	sálámpɔ́	sálámpɔ́	s á/a l á/a m p ɔ́/ɔ		60
9182	TogoKan	(a) sacrifice (e.g. a slaughtered animal)	sàrúgá	sàrúgá	s à/a r ú/u ɡ á/a		60
9183	TommoSoTongoTongo	(a) sacrifice (e.g. a slaughtered animal)	sàlàmbɔ́	sàlàmbɔ́	s à/a l à/a ⁿb ɔ́/ɔ		60
9184	ToroTegu	(a) sacrifice (e.g. a slaughtered animal)	sádákà	sádákà	s á/a d á/a k à/a		60
9185	YandaDom	(a) sacrifice (e.g. a slaughtered animal)	sàlàmbɔ́	sàlàmbɔ́	s à/a l à/a ⁿb ɔ́/ɔ		60
11432	BenTey	(a) shop, store	bìdígì	bìdígì	b ì/i d í/i ɡ ì/i		61
11433	Bunoge	(a) shop, store	bítígì	bítígì	b í/i t í/i ɡ ì/i		61
11434	DonnoSo	(a) shop, store	bùdígù	bùdígù	b ù/u d í/i ɡ ù/u		61
11435	JamsayAlphabet	(a) shop, store	bidigu	bidigu	b i d i ɡ u/u		61
11436	JamsayDouentza	(a) shop, store	bìdígù	bìdígù	b ì/i d í/i ɡ ù/u		61
11437	Mombo	(a) shop, store	bírígì	bírígì	b í/i r í/i ɡ ì/i		61
11438	Nanga	(a) shop, store	bìtíkî	bìtíkî	b ì/i t í/i k î/i		61
11439	Penange	(a) shop, store	bìrgì	bìrgì	b ì/i r ɡ ì/i		61
11440	Tiranige	(a) shop, store	bídígí	bídígí	b í/i d í/i ɡ í/i		61
11441	TogoKan	(a) shop, store	bìtígí	bìtígí	b ì/i t í/i ɡ í/i		61
11442	TommoSoTongoTongo	(a) shop, store	bídík	bídík	b í/i d í/i k		61
11443	ToroTegu	(a) shop, store	bìtíkì, dɔ̀rùdɔ̀rú ìlò	bìtíkì	b ì/i t í/i k ì/i		61
11444	YandaDom	(a) shop, store	bìdígù	bìdígù	b ì/i d í/i ɡ ù/u		61
7358	Najamba	(a) swelling (of a wound)	àmìyɛ́ŋgò\\àmìyɛ̂:	àmìyɛ́ŋgò	à/a m ì/i j ɛ́/ɛ ŋ ɡ ò/o		62
7359	TogoKan	(a) swelling (of a wound)	pìdé	pìdé	p ì/i d é/e		63
7360	TommoSoTongoTongo	(a) swelling (of a wound)	pììríyé	pììríyé	p ìì/iː r í/i j é/e		63
7361	YornoSo	(a) swelling (of a wound)	pì:rě:	pì:rě:	p ì:/iː r ě:/eː		63
4150	BankanTey	(act of) fasting	m̀bù:pǎỳ, kɔ́rkà	m̀bù:pǎỳ	m̀/m b ùː/uː p ǎ/a j̀/y		64
4151	BenTey	(act of) fasting	mò:[pàgî:]	mò:	m òː/oː		65
4152	DogulDomB	(act of) fasting	kórkà	kórkà	k ó/o r k à/a		66
4153	DonnoSo	(act of) fasting	kɔ́rgɔ̀	kɔ́rgɔ̀	k ɔ́/ɔ r ɡ ɔ̀/ɔ		66
4154	JamsayAlphabet	(act of) fasting	kapagu	kapagu	k a p a ɡ u/u		64
4155	JamsayDouentza	(act of) fasting	kà:[pàgú]	kà:	k à:/aː		69
4156	Mombo	(act of) fasting	kɔ́rkà	kɔ́rkà	k ɔ́/ɔ r k à/a		66
4157	Najamba	(act of) fasting	ìbì[págílé]	ìbì	ì/i b ì/i		71
4158	Nanga	(act of) fasting	nɔ̀:pàgí	nɔ̀:pàgí	n ɔ̀:/ɔː p à/a ɡ í/i		64
4159	Penange	(act of) fasting	sú:ⁿ túlé, [sú:ⁿ nì] bò	sú:ⁿ_túlé	s ṹː/ũː + t ú/u l é/e		73
4160	PergeTegu	(act of) fasting	kà:[pàgú]	kà:	k à:/aː		69
4161	TebulUre	(act of) fasting	m̀bùpàgú	m̀bùpàgú	m̀/m b ù/u p à/a ɡ ú/u		64
4162	Tiranige	(act of) fasting	ɔ̀mɔ̀págá	ɔ̀mɔ̀págá	ɔ̀/ɔ m ɔ̀/ɔ p á/a ɡ á/a		64
4163	TogoKan	(act of) fasting	kàⁿpàgú	kàⁿpàgú	k àⁿ/ã p à/a ɡ ú/u		64
4164	TommoSoTongoTongo	(act of) fasting	àŋà pàgú, kɔ́rkà	àŋà_pàgú	à/a ŋ à/a + p à/a ɡ ú/u		78
4165	TomoKanSegue	(act of) fasting	sú:ⁿ	sú:ⁿ	s ṹː/ũː		79
4166	ToroTegu	(act of) fasting	kàpágú	kàpágú	k à/a p á/a ɡ ú/u		64
4167	YandaDom	(act of) fasting	m̀bòpàgù	m̀bòpàgù	m̀/m b ò/o p à/a ɡ ù/u		64
4168	YornoSo	(act of) fasting	àŋàpàgú	àŋàpàgú	à/a ŋ à/a p à/a ɡ ú/u		64
3880	BankanTey	(any) alcoholic beverage	kɔ̀zɔ́	kɔ̀zɔ́	k ɔ̀/ɔ z ɔ́/ɔ		81
3881	BenTey	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		81
3882	DogulDomA	(any) alcoholic beverage	kɔ́ɲjɔ́	kɔ́ɲjɔ́	k ɔ́/ɔ ɲ/ɲ dʒ ɔ́/ɔ		81
3883	JamsayAlphabet	(any) alcoholic beverage	kɔɲɔ	kɔɲɔ	k ɔ ɲ/ɲ ɔ		81
3884	JamsayDouentza	(any) alcoholic beverage	kɔ̀ɲɔ́	kɔ̀ɲɔ́	k ɔ̀/ɔ ɲ/ɲ ɔ́/ɔ		81
3885	Mombo	(any) alcoholic beverage	kɔ́ndyɔ̀	kɔ́ndyɔ̀	k ɔ́/ɔ ⁿd j ɔ̀/ɔ		81
3886	Najamba	(any) alcoholic beverage	kɔ̀njɛ́ŋgé\\kɔ̀njɛ́	kɔ̀njɛ́ŋgé	k ɔ̀/ɔ ⁿdʒ ɛ́/ɛ ŋ ɡ é/e		81
3887	Nanga	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		81
3888	PergeTegu	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		81
3889	TogoKan	(any) alcoholic beverage	kɛ̀ɲɛ́	kɛ̀ɲɛ́	k ɛ̀/ɛ ɲ/ɲ ɛ́/ɛ		81
3890	TommoSoTongoTongo	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		81
3891	ToroTegu	(any) alcoholic beverage	kɔ̀ⁿsɔ́	kɔ̀ⁿsɔ́	k ɔ̀ⁿ/ɔ̃ s ɔ́/ɔ		81
3892	YandaDom	(any) alcoholic beverage	kɔ̀nzɔ̀	kɔ̀nzɔ̀	k ɔ̀/ɔ n z ɔ̀/ɔ		81
3893	YornoSo	(any) alcoholic beverage	kɔ̀ɲɔ́	kɔ̀ɲɔ́	k ɔ̀/ɔ ɲ/ɲ ɔ́/ɔ		81
4412	Nanga	(any) fish trap	ìsìyɔ́gî	ìsìyɔ́gî	ì/i s ì/i j ɔ́/ɔ ɡ î/i		82
4413	TommoSoTongoTongo	(any) fish trap	jɔ́ɔ́ⁿ	jɔ́ɔ́ⁿ	dʒ ɔ̃́ː/ɔ̃ː		83
4414	ToroTegu	(any) fish trap	sàrⁿá	sàrⁿá	s à/a r̃ á/a		84
6058	DogulDomA	(any) men's palaver shed	páy wéy ógó	páy_wéy_ógó	p á/a j + w é/e j + ó/o ɡ ó/o		85
6059	DogulDomB	(any) men's palaver shed	ánùwè jàŋgà	ánùwè_jàŋgà	á/a n ù/u w è/e + dʒ à/a ŋ ɡ à/a		86
6060	Mombo	(any) men's palaver shed	jàwⁿà bâyⁿ	jàwⁿà_bâyⁿ	dʒ àwⁿ/ãu à/a + b â/a yⁿ/ỹ		87
6061	Nanga	(any) men's palaver shed	àrⁿàɔ̂:	àrⁿàɔ̂:	à/a r̃ à/a ɔ̂:/ɔː		88
6062	Tiranige	(any) men's palaver shed	yàŋà	yàŋà	j à/a ŋ à/a		89
6063	TommoSoTongoTongo	(any) men's palaver shed	ànàm dóm, ànàm jáŋgá	ànàm_dóm	à/a n à/a m + d ó/o m		90
6064	YornoSo	(any) men's palaver shed	tògù ná:	tògù_ná:	t ò/o ɡ ù/u + n á:/aː		91
9743	BankanTey	(blood from a serious wound) flow, gush out, pour out	yɔ̀wɔ́	yɔ̀wɔ́	j ɔ̀/ɔ w ɔ́/ɔ		92
9744	BenTey	(blood from a serious wound) flow, gush out, pour out	tó: tí	tó:_tí	t óː/oː + t í/i		93
9745	JamsayAlphabet	(blood from a serious wound) flow, gush out, pour out	yuwɔ	yuwɔ	j u/u w ɔ		92
9746	JamsayDouentza	(blood from a serious wound) flow, gush out, pour out	yùwɔ́	yùwɔ́	j ù/u w ɔ́/ɔ		92
9747	Mombo	(blood from a serious wound) flow, gush out, pour out	gwé:	gwé:	ɡ w é:/eː		96
9748	Najamba	(blood from a serious wound) flow, gush out, pour out	síyɛ́	síyɛ́	s í/i j ɛ́/ɛ		97
9749	Nanga	(blood from a serious wound) flow, gush out, pour out	tíyɛ́	tíyɛ́	t í/i j ɛ́/ɛ		97
9750	TommoSoTongoTongo	(blood from a serious wound) flow, gush out, pour out	gòó	gòó	ɡ ǒː/oː		96
9751	ToroTegu	(blood from a serious wound) flow, gush out, pour out	zɔ̌w\\zɔ̌:	zɔ̌w	z ɔ̌/ɔ w		100
9752	YornoSo	(blood from a serious wound) flow, gush out, pour out	tógɛ́:	tógɛ́:	t ó/o ɡ ɛ́:/ɛː		101
811	DogulDomB	(child) be born	nàlyé	nàlyé	n à/a l j é/e		102
812	Najamba	(child) be born	nàlíyɛ́	nàlíyɛ́	n à/a l í/i j ɛ́/ɛ		102
813	TommoSoTongoTongo	(child) be born	nàlíyɛ́	nàlíyɛ́	n à/a l í/i j ɛ́/ɛ		102
814	YornoSo	(child) be born	nàrⁿɛ́:\\nàrⁿí:	nàrⁿɛ́:	n à/a r̃ ɛ́:/ɛː		102
9338	BankanTey	(colonial) army	lármɛ̀	lármɛ̀	l á/a r m ɛ̀/ɛ		103
9339	BenTey	(colonial) army	sèdà:sú	sèdà:sú	s è/e d à:/aː s ú/u		104
9340	DogulDomA	(colonial) army	sórààs	sórààs	s ó/o r àà/aː s		104
9341	JamsayAlphabet	(colonial) army	larmɛ	larmɛ	l a r m ɛ		103
9342	JamsayDouentza	(colonial) army	lármɛ́	lármɛ́	l á/a r m ɛ́/ɛ		103
9343	Mombo	(colonial) army	ármê:	ármê:	á/a r m ê:/eː		103
9344	PergeTegu	(colonial) army	sódá:sù	sódá:sù	s ó/o d á:/aː s ù/u		104
9345	TogoKan	(colonial) army	sɔ́dá:jú	sɔ́dá:jú	s ɔ́/ɔ d á:/aː dʒ ú/u		104
9346	TommoSoTongoTongo	(colonial) army	ànsáárá kɔ̀mbɔ̀ ànàm	ànsáárá_kɔ̀mbɔ̀_ànàm	à/a n s áá/aː r á/a + k ɔ̀/ɔ ⁿb ɔ̀/ɔ + à/a n à/a m		111
9347	ToroTegu	(colonial) army	sárú:sù	sárú:sù	s á/a r úː/uː s ù/u		104
9348	YornoSo	(colonial) army	lármè	lármè	l á/a r m è/e		103
12544	BankanTey	(dog) howl, bay (verb only)	lò:ró	lò:ró	l òː/oː r ó/o		112
12545	Mombo	(dog) howl, bay (verb only)	kɔ́mɛ́	kɔ́mɛ́	k ɔ́/ɔ m ɛ́/ɛ		113
12546	Najamba	(dog) howl, bay (verb only)	íníy\\ìnìyè	íníy	í/i n í/i j		114
12547	Nanga	(dog) howl, bay (verb only)	gúndó	gúndó	ɡ ú/u ⁿd ó/o		113
12548	PergeTegu	(dog) howl, bay (verb only)	bò:ló	bò:ló	b òː/oː l ó/o		116
12549	TommoSoTongoTongo	(dog) howl, bay (verb only)	kóódó	kóódó	k óː/oː d ó/o		113
12550	YandaDom	(dog) howl, bay (verb only)	kódó\\kódólì	kódó	k ó/o d ó/o		113
12551	YornoSo	(dog) howl, bay (verb only)	pí:\\pí:	pí:	p í:/iː		116
14234	Ampari	(e.g. bird) fly	kíríyò (kìrìyé, kìrìyèrí)	kíríyò_	k í/i r í/i j ò/o		117
14235	BankanTey	(e.g. bird) fly	kísíyé	kísíyé	k í/i s í/i j é/e		117
14236	BenTey	(e.g. bird) fly	kísíyé	kísíyé	k í/i s í/i j é/e		117
14237	Bunoge	(e.g. bird) fly	píllè	píllè	p í/i l l è/e		120
14238	DonnoSo	(e.g. bird) fly	kílè:\\kílìỳ	kílè:	k í/i l è:/eː		117
14239	Gourou	(e.g. bird) fly	píré	píré	p í/i r é/e		122
14240	JamsayAlphabet	(e.g. bird) fly	cire	cire	tʃ i r e		123
14241	JamsayDouentza	(e.g. bird) fly	círé	círé	tʃ í/i r é/e		123
14242	Mombo	(e.g. bird) fly	pílyê:	pílyê:	p í/i l j ê:/eː		122
14243	Najamba	(e.g. bird) fly	píríy\\pìrìyè, pílíy\\pìlìyè	píríy	p í/i r í/i j		122
14244	Nanga	(e.g. bird) fly	kísíyé	kísíyé	k í/i s í/i j é/e		117
14245	Penange	(e.g. bird) fly	pírígè	pírígè	p í/i r í/i ɡ è/e		122
14246	PergeTegu	(e.g. bird) fly	kíríyé	kíríyé	k í/i r í/i j é/e		117
14247	TebulUre	(e.g. bird) fly	cíllí: (cíllí:yà)	cíllí:_	tʃ í/i l l í:/iː		120
14248	Tiranige	(e.g. bird) fly	pílíyó	pílíyó	p í/i l í/i j ó/o		122
14249	TogoKan	(e.g. bird) fly	kìrí kírì:	kìrí_kírì:	k ì/i r í/i + k í/i r ì:/iː		132
14250	TommoSoTongoTongo	(e.g. bird) fly	kíílíyé	kíílíyé	k íí/iː l í/i j é/e		117
14251	ToroTegu	(e.g. bird) fly	círú\\círó	círú	tʃ í/i r ú/u		123
14252	YandaDom	(e.g. bird) fly	kílíyé\\kílíyélì	kílíyé	k í/i l í/i j é/e		117
14253	YornoSo	(e.g. bird) fly	kílɛ́:\\kílí:	kílɛ́:	k í/i l ɛ́:/ɛː		117
14416	BankanTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	tá:ní gǎŋ	tá:ní_gǎŋ	t á:/aː n í/i + ɡ ǎ/a ŋ		133
14417	BenTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	bùsó	bùsó	b ù/u s ó/o		134
