ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
concepts-2268	2268	be silent, be quiet	se taire	quiet, silent, shut up	se taire	sound/silence	son/silence	48	BE SILENT	verb
concepts-7174	7174	refuse, reject (a proposal or agreement)	refuser, rejeter (une proposition ou un accord)	reject, refuse	refuser,rejeter	talk/approve/reject	parole/accord/refus	49	REFUSE	verb
concepts-8247	8247	spots (sores) on body due to disease or insect bites	des boutons au corps dûs à une maladie ou aux piqûres d'insecte	sore	bouton (peau)	medicine/skin condition	médecine/maladie de peau	51	SORE	noun
concepts-1127	1127	(sb) tremble, be shaking, shiver	(qn) trembler, frissonner, grelotter	shake, tremble, shiver	trembler, frissonner, grelotter	mix/stir/shake/shake	mélanger/remuer/secouer/secouer	52	SHIVER	verb
concepts-1269	1269	(sth) vibrate, be shaking	(qch) vibrer, trembler	vibrate	vibrer	motion/vibrate	mouvement/vibrer	52	SHIVER	verb
concepts-4358	4358	genie, spirit (when seen, an apparition of one's approaching death)	djinn, diable (si on le voit, signe de la mort qui s'approache)	genie, spirit	djinn, diable	religion/devil	religion/diable	53	SPIRIT	noun
concepts-9447	9447	whisper (verb only)	chuchoter (verbe seulement)	whisper	chuchoter	sound/silence	son/silence	55	WHISPER	verb
concepts-2073	2073	bad luck	mauvaise chance	luck	chance	well-being/luck	bien-être/chance	56	BAD LUCK	noun
concepts-6466	6466	on, on top of	sur	on	sur	space/top	espace/haut	57	ATOP	other
concepts-6423	6423	oil (vegetable, liquid or buttery)	huile (végétale, liquide ou en forme de beurre)	oil	huile	oil/butter/vegetable oil	huile/beurre/huile végétale	2555	OIL (FROM PLANTS)	noun
concepts-7412	7412	rumor	rumeur	hear, rumor	entendre, rumeur	sound/hearing	son/audition	63	RUMOUR	noun
concepts-1141	1141	(sb, camel) kneel	(qn, chameau) s'agenouiller	kneel	s'agenouiller	body position/kneel	position du corps/agenouiller	66	KNEEL	verb
concepts-4994	4994	hot coal, ember	braise	ember, coal	braise	fire/coal	feu/charbon	67	EMBERS	noun
concepts-2999	2999	claw, talon	griffe	claw	griffe	part (animal)/extremity	partie (animal)/bout	72	CLAW	noun
concepts-9698	9698	young (adolescent) man, not yet bearded	jeune homme, pas encore barbu	young man	jeune homme	person/young man	personne/jeune homme	76	YOUNG MAN	noun
concepts-9699	9699	young (adolescent) woman, not yet a mother	jeune femme (adolescente), pas encore une mère	young woman	jeune femme	person/young woman	personne/jeune femme	77	YOUNG WOMAN	noun
concepts-8712	8712	that (far-distant, all unpredictable forms)	cela	that	cela	deixis/deictic	deixis/déictique	78	THAT	other
concepts-8713	8713	that (near-distant, all unpredictable forms)	cela	that	cela	deixis/deictic	deixis/déictique	78	THAT	other
concepts-9342	9342	waste (noun)	gaspillage	waste, loss	gaspillage, perte	well-being/waste	bien-être/gaspiller		WASTE	noun
concepts-3610	3610	doorway (passage)	porte (passage)	door	porte	house/door	maison/porte	80	DOORPOST	noun
concepts-1920	1920	anger	colère	anger	colère	emotion/temperament/anger	émotion/nature/colère	82	ANGER	noun
concepts-1068	1068	(sb) forbid (sth)	(qn) interdire (qch)	forbid	interdire	law/forbidden	loi/interdit	83	FORBID	verb
concepts-4741	4741	have just VPed, have finished VPing (recent perfect/completive suffix or aux, e.g.-jɛ-, -dɛ-)	venir de (faire), avoir juste fini de (faire) (parfait récent)	recent perfect	parfait récent	grammar/verbal aspect positive	grammaire/aspect verbal positif	84	JUST	other
concepts-4414	4414	give back, return (sth, to sb)	rendre, remettre (qch, à qn)	give back, return	rendre, remettre	give/dispossess/give back	donner/retirer/rendre	85	GIVE BACK	verb
concepts-2350	2350	beehive (in trees or rocks)	ruche (dans un arbre ou dans une grotte)	beehive	ruche	honey/hive	miel/ruche	88	BEEHIVE	noun
concepts-5154	5154	innocent, not involved (person)	(personne) innocent, non impliqué	innocent	innocent	together/separate/innocent	ensemble/à part/innocent	90	INNOCENT	adjective
concepts-8241	8241	spoil (a child)	gâter (un enfant)	spoil	gâter	treat well/mistreat/pamper	bien/mal traîter/choyer	92	SPOIL (SOMEBODY OR SOMETHING)	verb
concepts-6043	6043	milk (verb), draw milk from (cow, goat)	traire (vache, chèvre)	draw milk	traire	milk/draw milk	lait/traire	93	DRAW MILK	verb
concepts-252	252	(child) crawl on all fours	(enfant) ramper, marcher à quatre pattes	crawl	ramper	motion/crawl	mouvement/ramper	96	CRAWL	verb
concepts-1190	1190	(snake) crawl, slither along	(serpent) ramper, onduler	crawl	ramper	motion/crawl	mouvement/ramper		SLITHER	verb
concepts-1868	1868	all, entirely (interjection-like adverbial)	tout, tout à fait (adverbe d'emphase en forme d'interjection)	all, entirely	tout, entièrement	quantity/each/all	quantité/chaque/tout	98	ALL	other
concepts-1869	1869	all, every	tout, tous	all, every	tout	quantity/each/all	quantité/chaque/tout	98	ALL	other
concepts-3891	3891	everything	tout, le tout	everything	tout	quantity/each/all	quantité/chaque/tout	98	ALL	other
concepts-5027	5027	hunchback (person)	bossu (personne)	hunchback	bossu	body/torso	corps/torse	99	HUNCHBACK	noun
concepts-2168	2168	be boastful, speak and walk arrogantly	se vanter, parler et marcher de façon hautaine	showboat, show-off, boast	se vanter, hautain	emotion/temperament/pride	émotion/nature/orgueil	101	BOAST	verb
concepts-4809	4809	head cold	rhume de tête	head cold	rhume	medicine/head condition	médecine/maladie de tête	102	COMMON COLD (DISEASE)	noun
concepts-5930	5930	mattress (traditional with straw, or modern)	matelas (traditionnel à paille, ou moderne)	mattress	matelas	sleep/wake/bed/bedding/mattress	dormer/réveiller/lit/couchette/materlas	105	MATTRESS	noun
concepts-1013	1013	(sb) be sated (full after eating), satisfy one's appetite	(qn) se rassasier (de nourriture)	sated, full	rassasier	eat/sated	manger/rassasier	106	SATIATED	verb
concepts-6459	6459	omen, augur (of something to come)	augure (de qch qui va venir)	omen	augure	vision/sign/omen	vision/signe/augure	107	OMEN	noun
concepts-6645	6645	person of a foreign ethnicity	personne d'une race étrangère	foreigner	étranger	ethnicity/foreign	ethnie/étanger	109	FOREIGN	adjective
concepts-4152	4152	flap (wings)	battre (les ailes)	flap (wings)	battre (ailes)	mix/stir/shake/shake	mélanger/remuer/secouer/secouer		FLAP	verb
concepts-5066	5066	imitate	imiter	imitate	imiter	resemblance/imitate	ressemblance/imiter	117	IMITATE	verb
concepts-2815	2815	cast a spell on, bewitch, use black magic on (sb)	jeter un sort à, ensorceler (qn)	cast spell, bewitch	jeter sort, ensorceler	magic/magic spell	magie/sort/verset	118	BEWITCH	verb
concepts-3542	3542	dive forward into water (headfirst, usually with a running start)	plonger dans l'eau (la tête avant, souvent après avoir couru)	dive, plunge	plonger	watercourse/swim/dive/wade	cours d'eau/nager/plonger/entrer	119	DIVE	verb
concepts-1268	1268	(sth) turn, spin, rotate	(qch) pivoter, tournoyer	spin, rotate	pivoter	motion/spin	mouvement/pivoter	121	SPIN	verb
concepts-8213	8213	spin (sth)	faire pivoter (qch)	spin, rotate	pivoter	motion/spin	mouvement/pivoter	121	SPIN	verb
concepts-2807	2807	cart drawn by donkeys or oxen	charrette tirée par des ânes ou des bœufs	cart	charrette	vehicle/cart	véhicule/charrette/pousse-pousse	122	CART	noun
concepts-4234	4234	forehead	front	forehead	front	body/face	corps/visage	123	FOREHEAD	noun
concepts-8792	8792	thorn	épine	thorn	épine	part (plant)/thorn	partie (plante)/épine	124	THORN	noun
concepts-8549	8549	sweat (noun), perspiration	sueur	sweat	sueur	body function/sweat	fonctionnement corporel/sueur	125	SWEAT (SUBSTANCE)	noun
concepts-1121	1121	(sb) sweat, perspire	(qn) suer	sweat	suer	body function/sweat	fonctionnement corporel/sueur	126	SWEAT (PERSPIRE)	verb
concepts-3933	3933	extinguish, put out (fire)	éteindre (feu)	extinguish	éteindre	fire/extinguish	feu/éteindre	127	EXTINGUISH	verb
concepts-9015	9015	turn off (light)	éteindre (lumière)	turn off	éteindre	light/darkness/turn off	lumière/obscurité/éteindre	127	EXTINGUISH	verb
concepts-2965	2965	choke (on one's food)	s'étrangler (avec qch, en mangeant)	choke	étrangler	body function/choke	fonctionnement corporel/s'étrangler	129	CHOKE	verb
concepts-8432	8432	strangle	étrangler	strangle	étrangler	hit/strangle	frapper/étrangler	129	CHOKE	verb
concepts-545	545	(give sth) freely, for free	(donner qch) gratuitement	gift, free	cadeau	quantity/free/plain	quantité/libre/simple	130	GRATIS (OF CHARGE)	adjective
concepts-7466	7466	sauce (any)	(toute) sauce	sauce	sauce	food/sauce	aliment/sauce	132	SAUCE	noun
concepts-9385	9385	weave (fabric, from cotton thread)	tisser (tissu, en fil de coton)	weave	tisser	weaving/cotton/weave/loom	tissage/coton/tisser/métier	133	WEAVE	verb
concepts-4030	4030	fault, being in the wrong (at fault)	faute, fait d'ê. coupable ou fautif	fault, wrong	faute, fautif, tort	law/fault	loi/tort	134	FAULT	noun
concepts-4868	4868	here	ici	here	ici	deixis/here	deixis/ici	136	HERE	other
concepts-2142	2142	bathe, give a bath to (sb)	baigner, laver (qn)	bathe, wash	laver	wash/bathe/bathe	laver/baigner	3170	BATHE (SOMEONE)	verb
concepts-8596	8596	take a bath or shower, bathe	se laver (bain ou douche)	bathe	se laver	wash/bathe/bathe	laver/baigner	138	BATHE	verb
concepts-4607	4607	gums (flesh on outside of base of teeth)	gencive (chair à l'extérieur des dents)	gums	gencive	body/tooth	corps/dent	139	GUMS	noun
concepts-2709	2709	burn (e.g. paper, grass, fabric)	brûler (papier, herbe, tissu, etc.)	burn	brûler	hot/cold/burn	chaleur/froid/brûler	141	BURN (SOMETHING)	verb
concepts-7259	7259	return home	retourner à la maison	return, go back	retourner	motion/return	mouvement/retourner	142	RETURN HOME	verb
concepts-5020	5020	humid, moist	humid, humecté	moist	humide	wet/dry/soak	mouillé/sec/tremper	143	HUMID	adjective
concepts-8525	8525	sugar cane	canné à sucre	sugar cane	canne à sucre	plant (cultivated)/grain crop	plante (cultivée)/céréale cultivée	146	SUGAR CANE	noun
concepts-5231	5231	itchy area, rash	démangeaison	itch, rash	démangeaison	medicine/itch	médecine/démangeaison	148	ITCH	noun
concepts-1178	1178	(skin) be itchy (to sb)	(peau) démanger (à qn)	itch	démangeaison	medicine/itch	médecine/démangeaison	149	ITCHY	adjective
concepts-9649	9649	worry (verb only)	avoir des soucis (verbe seulement)	worry	souci, inquiétude	emotion/temperament/worry	émotion/nature/inquiétude	150	WORRY	verb
concepts-7104	7104	razor	rasoir	razor	rasoir	knife/ax/blade/razor	couteau/hache/lame/rasoir	151	RAZOR	noun
concepts-4968	4968	hoof	sabot	hoof	sabot	part (animal)/extremity	partie (animal)/bout	152	HOOF	noun
concepts-3503	3503	dirty white, off-white, light grey	blanchâtre, gris clair	white	blanc	color/white	couleur/blanc	153	GREY	adjective
concepts-9062	9062	udder	pis	udder	pis	part (animal)/body	partie (animal)/corps	154	UDDER	noun
concepts-2979	2979	chop, cut (firewood)	couper (bois de chauffage)	chop (wood)	couper	cut/chop	couper/couper à la hache	155	CHOP	verb
concepts-7144	7144	red (including brown and orange)	rouge (y compris brun et orange)	red	rouge	color/red/yellow	couleur/rouge/jaune	156	RED	adjective
concepts-3696	3696	dye, apply colors to (fabric)	teindre, appliquer des colorants à (tissu)	dye (verb)	teindre	color/dye	couleur/colorant	157	DYE	verb
concepts-1404	1404	(woman) put on (shawl)	(femme) mettre (foulard)	put on, wear	vêtir, porter	clothing/shawl/veil	vêtements/voile	158	PUT ON	verb
concepts-6996	6996	put (pants) on (sb)	mettre, faire porter (pantalon) à (qn)	put on, wear (pants)	mettre, porter (pantalon)	clothing/pants	vêtements/pantalon	158	PUT ON	verb
concepts-7028	7028	put on, wear (hat)	mettre ou porter (chapeau), se coiffer (en mettant un chapeau)	put on, wear	vêtir, porter	clothing/headwear	vêtements/chapeau/foulard	3428	WEAR (ON HEAD)	verb
concepts-7029	7029	put on, wear (pants, covering one's legs)	mettre, porter (pantalon, en se couvrant les jambes)	put on, wear (pants)	mettre, porter (pantalon)	clothing/pants	vêtements/pantalon	158	PUT ON	verb
concepts-7030	7030	put on, wear (shoe)	se chausser, mettre (des chaussures)	put on	chausser	clothing/footwear	vêtements/chaussure	158	PUT ON	verb
concepts-2814	2814	cassava (manioc) or sweet potato	manioc ou patate	cassava	manioc	plant (cultivated)/root crop	plante (cultivée)/racine cultivée	925	CASSAVA	noun
concepts-8554	8554	sweet potato	patate (douce)	sweet potato	patate	plant (cultivated)/root crop	plante (cultivée)/racine cultivée	159	SWEET POTATO	noun
concepts-1285	1285	(sun) set	(soleil) se coucher	set, sunset	soleil coucher	celestial body/set	corps céleste/coucher	160	SET (HEAVENLY BODIES)	verb
concepts-6088	6088	miss (target, e.g. with a shot)	rater (cible, par ex. avec un tir)	miss	rater	hunt/miss target	chasse/rater cible	161	MISS (A TARGET)	verb
concepts-4878	4878	hiccup (verb only)	hoquet (verbe seulement)	hiccup	hoquet	body function/oral gaseous emission	fonctionnement corporel/émission gazeuse	162	HICCOUGH	verb
concepts-2448	2448	black, dark	noir, sombre	black, dark	noir, foncé	color/black	couleur/noir	163	BLACK	adjective
concepts-7251	7251	rest, relax	reposer	rest, relax	reposer	sleep/wake/bed/relax	dormer/réveiller/lit/reposer	168	REST	verb
concepts-7737	7737	shoulderblade	homoplate	shoulderblade	homoplate	body/bone	corps/os	172	SHOULDERBLADE	noun
concepts-1011	1011	(sb) be proud, vain	(qn) ê. hautain, orgueilleux	proud, pride, vain	hautain, orgueilleux	emotion/temperament/pride	émotion/nature/orgueil	174	PROUD	adjective
concepts-2487	2487	blow (horn, whistle)	faire sonner (cor, sifflet)	whistle	siffler	sound/whistle	son/siffler	176	BLOW (WITH MOUTH)	verb
concepts-7306	7306	ripe (fruit)	mûr (fruit)	ripe	mûr	ripe/raw/cooked/ripe/cooked	mûr/cru/mûr/cuit	178	RIPE	adjective
concepts-7307	7307	ripe (grain)	(céréale) mûr	ripe	mûr	ripe/raw/cooked/ripe/cooked	mûr/cru/mûr/cuit	178	RIPE	adjective
concepts-528	528	(fruit) ripen, become ripe	(fruit) mûrir	ripen	mûrir	ripe/raw/cooked/ripe/cooked	mûr/cru/mûr/cuit	179	RIPEN	verb
concepts-556	556	(grain) ripen	(céréales) mûrir	ripen	mûrir	ripe/raw/cooked/ripe/cooked	mûr/cru/mûr/cuit	179	RIPEN	verb
concepts-824	824	(part of a fruit, e.g. mango) ripen	(partie d'un fruit, par ex. mangue) mûrir	ripen	mûrir	ripe/raw/cooked/ripe/cooked	mûr/cru/mûr/cuit	179	RIPEN	verb
concepts-2078	2078	bake (bread) in an oven	faire cuire (pain) au four	bake	cuire au four	cooking/cook	cuisine/cuire	183	BAKE	verb
concepts-7687	7687	shin, lower leg	tibia, jambe inférieure	shin	tibia	body/leg	corps/jambe	186	SHIN	noun
concepts-7688	7688	shinbone	tibia (os)	shin	tibia	body/leg	corps/jambe	186	SHIN	noun
concepts-3075	3075	comb, crest (on head of rooster)	crête (de coq)	comb, crest	crête	part (animal)/crest	partie (animal)/crête	188	COMB OF BIRD	noun
concepts-7112	7112	reap, cut (stems, e.g. harvesting rice or roselle) by slashing with a sickle	faucher, couper (tiges, par ex. en récoltant le riz ou le dah) à coups de faucille	reap, harvest	faucher, récolter	agriculture/slash/reap	agriculture/couper/faucher	190	MOW	verb
concepts-7113	7113	reap, cut off (millet grain spikes)	récolter en coupant (épis de mil)	harvest, cut off	récolter, couper	agriculture/slash/reap	agriculture/couper/faucher	190	MOW	verb
concepts-3184	3184	corner (external, of house)	angle (de maison)	corner	angle	house/wall/corner	maison/mur/coin	192	CORNER	noun
concepts-3185	3185	corner (internal)	coin (intérieur)	corner	coin	house/wall/corner	maison/mur/coin	192	CORNER	noun
concepts-3984	3984	family (independent household)	famille (ménage indépendant)	family	famille	kinship/family	parenté/famille	194	FAMILY	noun
concepts-5011	5011	household, family (set of people who eat together)	ménage, famille (ensemble de personnes qui mange ensemble)	family	famille	kinship/family	parenté/famille	194	FAMILY	noun
concepts-5485	5485	lay (sheet, garment) on a horizontal surface (ground, mat)	étaler (drap, vêtement) sur une surface horizontale (sol, natte)	lay	poser	put/arrange	poser/mettre/disposer	2071	LAY (VERB)	noun
concepts-5920	5920	mat	natte	mat	natte	mat/mat	natte/natte	195	MAT	noun
concepts-6525	6525	other, (something) else	autre	other	autre	quantity/identity	quantité/certain(s)	197	OTHER	other
concepts-3985	3985	famine, widespread and serious hunger	faim générale et sérieuse, famine	hunger	faim	eat/famine	manger/famine	199	FAMINE	noun
concepts-7452	7452	same, indistinguishable	de même, sans distinction	same	même	resemblance/like	ressemblance/comme	200	SAME	other
concepts-8448	8448	strength, power, force	force, pouvoir	power, strength, force	force, pouvoir	power/strong	force/fort	202	STRENGTH	noun
concepts-712	712	(man) marry (woman)	(homme) épouser (femme)	marry	épouser	marriage/wed	mariage/épouser	203	MARRY	verb
concepts-1844	1844	again, once more	encore une fois, de nouveau	again	encore	time/again	temps/de nouveau	204	AGAIN	other
concepts-8989	8989	trough (of wood or metal, for drinking or to beat as a drum)	abreuvoir (en bois ou en métal, pour l'eau ou à battre comme tambour)	trough	abreuvoir	water jar/trough/trough	jarre/abreuvoir/abreuvoir	205	TROUGH	noun
concepts-2514	2514	booger, snot (large, removed by blowing nose)	morve (grosse, à enlever en se mouchant)	snot, booger	morve	body/secretion	corps/sécrétion	208	NASAL MUCUS (SNOT)	noun
concepts-7095	7095	rare, bloody (undercooked meat) (intensifier)	saignant (viande insuffisament cuite) (intensif)	blood red	saignant	body/body substance	corps/substance corporelle	209	RARE	adjective
concepts-5570	5570	life	vie	life	vie	life/death/life	vie/mort/vie	210	LIFE	noun
concepts-1192	1192	(sorceror) cast (a spell)	(sorcier) jeter (un sort)	cast spell	jeter sort	magic/magic spell	magie/sort/verset	211	CAST	verb
concepts-3314	3314	cultivated field (for millet etc.) (general word)	champ cultivé (de mil etc.) (mot général)	field	champ	agriculture/field	agriculture/champ	212	FIELD	noun
concepts-8450	8450	stretch (e.g. animal hide, slingshot) out to its full length by pulling	étendre (peau d'animal, lance-pierres) complètement en tirant	stretch	étendre	straight/crooked/stretch	droit/tordu/étendre	214	STRETCH	verb
concepts-5566	5566	lie down, go to bed	se coucher	lie down	coucher	body position/lie down	position du corps/coucher	215	LIE DOWN	verb
concepts-4105	4105	fine (penalty)	amende	fine	amende	crime/deception/punish	délit/duperie/punir	218	FINE (PENALTY)	noun
concepts-8881	8881	toilet (with hole in ground)	toilette (avec trou)	toilet	toilette	house/toilet	maison/toilette	219	TOILET	noun
concepts-4122	4122	fire	feu	fire	feu	fire/fire	feu/feu	221	FIRE	noun
concepts-6855	6855	pounding mortar (any kind)	mortier à piler (toute sorte)	mortar	mortier	mortar/pestle/mortar	mortier/pilon/mortier	224	MORTAR	noun
concepts-6668	6668	pestle (for pounding in a mortar)	pilon (à piler dans un mortier)	pestle	pilon	mortar/pestle/pestle	mortier/pilon/pilon	225	PESTLE	noun
concepts-4251	4251	fortune-teller (general term)	devin, charlatan, voyant (mot général)	fortune-teller	devin	magic/divination	magie/divination	226	TELL FORTUNES	noun
concepts-2808	2808	carve (wood)	tailler (bois)	carve	tailler	cut/carve	couper/tailler	228	CARVE	verb
concepts-3580	3580	do some carving (of wood)	tailler (bois), faire du taillage	carve	tailler	cut/carve	couper/tailler	228	CARVE	verb
concepts-6185	6185	move over, move away (a short distance)	s'écarter (un peu)	move over	pousser, s'écarter	motion/move	mouvement/bouger	229	MOVE AWAY	verb
concepts-8550	8550	sweep (ground, courtyard)	balayer (sol, cour)	sweep	balayer	sweep/trash/sweep	balayer/ordures/balayer	230	SWEEP	verb
concepts-7664	7664	shave (sb, sth)	raser (qn, qch)	shave	raser	cut/shave	couper/raser	231	SHAVE	verb
concepts-8340	8340	step-mother, mother's co-wife	co-épouse de la mère, marâtre, belle-mère (nouvelle épouse du père)	stepmother	marâtre	kinship/stepkin	parenté/beau-parent/marâtre	236	STEPMOTHER	noun
concepts-8338	8338	step-father	beau-père (deuxième mari de la mère)	stepfather	beau-père	kinship/stepkin	parenté/beau-parent/marâtre	237	STEPFATHER	noun
concepts-4197	4197	flower (of tree or herb)	fleur (d'arbre ou de plante herbacée)	flower	fleur	part (plant)/flower	partie (plante)/fleur	239	FLOWER	noun
concepts-8499	8499	stump (of a chopped-down tree)	souche (d'un arbre coupé)	stump	souche	wood/stick/stump	bois/bâton/souche	241	TREE STUMP	noun
