NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
5546	log (e.g. of wood, not split)	1803	WOOD	noun
9455	wood	1803	WOOD	noun
9462	wood or bamboo flute with several holes (e.g. of Rimaibe people)	1803	WOOD	noun
9452	womb	804	WOMB	noun
3695	elder brother (of man or woman)	962	WOMAN	noun
3701	elder sister (of man or woman)	962	WOMAN	noun
3938	father- or mother-in-law (of man or woman)	962	WOMAN	noun
4270	genital rash (itchy) for man or woman, swollen testicles for man	962	WOMAN	noun
5876	memorial feast for the death of an animist man or woman (one year after death)	962	WOMAN	noun
6116	my elder brother (of man or woman)	962	WOMAN	noun
6117	my elder sister (of man or woman)	962	WOMAN	noun
6133	my younger brother (of man or woman)	962	WOMAN	noun
7691	simple straight walking stick (for man or woman)	962	WOMAN	noun
8997	unmarried (young man or woman)	962	WOMAN	noun
9273	week (or similar period) of mourning and condolences for dead man or woman	962	WOMAN	noun
9416	woman (in compounds)	962	WOMAN	noun
9451	woman, female person	962	WOMAN	noun
9584	younger brother (of man or woman)	962	WOMAN	noun
9587	younger sibling (either sex, of man or woman)	962	WOMAN	noun
9588	younger sibling (either sex, of man or woman) (possessed)	962	WOMAN	noun
9414	witness (person)	1144	WITNESS	noun
9415	witness (verb), be an eyewitness of (an incident)	1144	WITNESS	noun
1635	accompanied by, with (sb)	1340	WITH	other
6012	modern necklace (long red beads, with or without a few yellow segments)	1340	WITH	other
9413	with, by means of (instrument)	1340	WITH	other
2168	be prudent, wise	698	WISE	adjective
2205	be wise, possess wisdom	698	WISE	adjective
6611	pin on, attach (hair ornament, horse's stirrup, etc.) with a pin, wire, or clasp	2631	WIRE	noun
1119	(sb) wipe off (sweat or mud) with a downward sweep of one or both hands (on the face) or with an outward sweep of one hand (on the other arm)	1454	WIPE	verb
9399	wipe (e.g. sweat off brow, remainder of sauce in pot) with just the flexed index finger	1454	WIPE	verb
9401	wipe (one's forehead, with the back of one's hand and adjacent part of forearm)	1454	WIPE	verb
9402	wipe (surface, e.g. with a cloth)	1454	WIPE	verb
9403	wipe off (e.g. stick, chicken's leg) by hand, with a sliding motion	1454	WIPE	verb
2969	cold season, winter (January-March)	1471	WINTER	noun
9392	wing (of bird)	1257	WING	noun
4338	glass (material, e.g. bottle or window)	1375	WINDOW	noun
9389	window (full-sized)	1375	WINDOW	noun
9385	wind (airflow)	960	WIND	noun
951	(sb's) spouse (husband or wife)	1199	WIFE	noun
9373	wife	1199	WIFE	noun
9374	wife (possessed)	1199	WIFE	noun
617	(in cpds:) widowhood, being a widow or widower	1981	WIDOWER	noun
9370	widower	1981	WIDOWER	noun
9365	widow (not yet remarried)	1756	WIDOW	noun
2776	cause to be thick (wall) or wide (passageway)	1243	WIDE	adjective
9346	wide (passageway)	1243	WIDE	adjective
9357	wide, flat, slightly concave grindstone with coarse texture on which one grinds (e.g. millet) with a small round stone	1243	WIDE	adjective
9358	wide, shallow, bowl-shaped basin for tanning hides	1243	WIDE	adjective
9364	wideness (of passageway)	1243	WIDE	adjective
9344	why?	1270	WHY	other
3776	entire, whole, intact (e.g. melon, kola nut)	2277	WHOLE	adjective
6291	number (of units), total, count (of sth, e.g. herd)	2277	WHOLE	adjective
9342	who?	1235	WHO	other
4585	hard slipper (man's, white)	1335	WHITE	adjective
5314	large necklace jewel (circular, white)	1335	WHITE	adjective
7580	shoe (old woman's, pointed, white, plastic)	1335	WHITE	adjective
7866	small kola nut with yellowish flesh (low-quality kola nut, white or red)	1335	WHITE	adjective
9340	white, light-colored	1335	WHITE	adjective
9424	woman's bead headband (red, white, and black)	1335	WHITE	adjective
1360	(wind) whistle	1025	WHISTLE	verb
9325	whistle (from the mouth) (verb only)	1025	WHISTLE	verb
9326	whistle (object, e.g. of sports referee)	1025	WHISTLE	verb
9322	whisper (verb only)	55	WHISPER	verb
9323	whisper, speak in a whisper (verb plus noun)	55	WHISPER	verb
9324	whispering (noun), (a) whisper	55	WHISPER	verb
9321	whirlwind, twister	3740	WHIRLWIND	noun
9319	whip (branch)	2630	WHIP	noun
9320	whip (strap of animal hide)	2630	WHIP	noun
2059	be a fairly long time, be a while	726	WHILE	noun
9318	which?	727	WHICH	other
9312	where? (location)	1237	WHERE	other
9310	when? (at what time?)	1238	WHEN	other
9311	when? (e.g. what day?)	1238	WHEN	other
2863	child's toy tire or wheel, rolled on the ground with a stick	710	WHEEL	noun
9308	wheat	1077	WHEAT	noun
9306	what?	1236	WHAT	other
9296	wet (adjective)	1726	WET	adjective
9294	west	1817	WEST	noun
587	(hole, well, water) be deeper than the height of (sb) (swallow)	954	WELL	noun
3344	deepen (hole, well)	954	WELL	noun
3373	depth (of hole or well)	954	WELL	noun
9282	well (adverb)	954	WELL	noun
9283	well (for drawing water)	954	WELL	noun
9284	well, ...	954	WELL	noun
9279	weight	2466	WEIGHT	noun
9272	week	1469	WEEK	noun
1582	Wednesday	1694	WEDNESDAY	noun
9267	wedding (Christian)	1259	WEDDING	noun
9268	wedding (Muslim)	1259	WEDDING	noun
9264	weaver	3637	WEAVER	noun
8630	thick cotton thread (warp, in weaving)	133	WEAVE	verb
8644	thin cotton thread (woof, in weaving, stronger than the warp)	133	WEAVE	verb
9260	weave (fabric, from cotton thread)	133	WEAVE	verb
9255	wealth	2996	WEALTH	noun
2204	be weak, be unable to work well	1601	WEAK	adjective
2292	being shiftless or weak, doing poor work	1601	WEAK	adjective
9254	weak, feeble (person or animal)	1601	WEAK	adjective
1205	(sth hanging) dangle, wave, swing back and forth in the air	978	WAVE	noun
9245	wave (a large cloth or flag), with a sweeping motion	978	WAVE	noun
9250	waves (of water)	978	WAVE	noun
261	(cooked grain) be mushy, watery, hard to pick up in the hand	3545	WATERY	adjective
733	(milk, cream of millet) become slightly diluted, watery	3545	WATERY	adjective
6101	mushy, watery, hard to pick up in the hand (e.g. cooked rice, millet cake)	3545	WATERY	adjective
7776	slightly diluted, watery (milk, cream of millet)	3545	WATERY	adjective
3277	cut up (papaya, watermelon, squash) in the normal way by splitting it into two halves and then making several further cuts	2766	WATERMELON	noun
9234	watermelon (cooking variety)	2766	WATERMELON	noun
9235	watermelon (ordinary type)	2766	WATERMELON	noun
9236	watermelon (wild)	2766	WATERMELON	noun
9240	watermelon, melon (general term)	2766	WATERMELON	noun
2401	blow into (intestine, with air or water)	948	WATER	noun
4277	get bogged (in mud or water), bog down	948	WATER	noun
4895	hot (object, water)	948	WATER	noun
6751	pour, spill (grain, water, etc.) into a bowl etc.	948	WATER	noun
7268	row of stones laid as a bridge that people can walk on to cross mud or water	948	WATER	noun
9221	water	948	WATER	noun
9222	water (a plant or tree) by pouring from a container	948	WATER	noun
9216	waste (noun)	79	WASTE	verb
702	(man) wash (his head)	1453	WASH	verb
1385	(woman) wash (her head)	1453	WASH	verb
9211	wash (clothing)	1453	WASH	verb
9213	wash (one's hands)	1453	WASH	verb
9214	wash (pots, knives, etc.)	1453	WASH	verb
9210	warrior	3608	WARRIOR	noun
630	(job, war, etc.) wind down, slacken off as its end approaches	935	WAR	noun
9204	war, combat	935	WAR	noun
9200	want, like, love (sth)	1784	WANT	verb
9201	want, like, love (sth) (defective verb)	1784	WANT	verb
228	(ceiling, wall, large rock) fall on and pin down (sb, sth)	933	WALL (OF HOUSE)	noun
5409	lean one's shoulder or back against (tree, wall)	933	WALL (OF HOUSE)	noun
6906	put designs on surface of (calabash, wall)	933	WALL (OF HOUSE)	noun
7516	shallow hole, depression (in ground, wall, etc.)	933	WALL (OF HOUSE)	noun
9196	wall (of house)	933	WALL (OF HOUSE)	noun
8353	stroll (noun), (a) walk	1443	WALK	verb
3535	drag (sth) on the ground (leaving a trail or wake)	3174	WAKE UP (SOMEONE)	verb
4289	get up, arise	1602	WAKE UP	verb
9178	wake (sb) up	1602	WAKE UP	verb
9179	wake up, awaken	1602	WAKE UP	verb
4845	hold off, delay acting, wait (e.g. until a situation is clarified)	1590	WAIT (FOR)	verb
9176	wait for (sb)	1590	WAIT (FOR)	verb
9177	wait, be patient	1590	WAIT (FOR)	verb
9171	vomit (noun)	1278	VOMIT	verb
9172	vomit (verb only)	1278	VOMIT	verb
9167	voice (of sb), characteristic call (of animal)	1363	VOICE	noun
9164	visit (e.g. to a relative) (noun)	1377	VISIT	verb
9165	visit, be the guest of (sb)	1377	VISIT	verb
3450	distribute (things, to everyone in a group or village)	930	VILLAGE	noun
4813	history (chronology) of a family or village (told by an elder)	930	VILLAGE	noun
7744	slaughtered animal (e.g. a cow following an injury) donated to a neighborhood or village	930	VILLAGE	noun
9087	very end (e.g. of a street or village)	930	VILLAGE	noun
9160	village, town, settlement	930	VILLAGE	noun
9069	very	1311	VERY	other
9070	very (added to adjectives)	1311	VERY	other
9064	vein, blood vessel	1924	VEIN	noun
4802	high-quality and in good condition (energetic donkey, vehicle or machine that works well) (adjective)	2549	VEHICLE	noun
3966	female sex organ (=clitoris)	1836	VAGINA	noun
9053	vagina	1836	VAGINA	noun
9047	urine	1142	URINE	noun
8636	thigh, upper leg (of person)	471	UPPER LEG (THIGH)	noun
9030	upper back	445	UPPER BACK	noun
3689	either segment of the arm (forearm or upper arm)	431	UPPER ARM	noun
9029	upper arm	431	UPPER ARM	noun
831	(period of time) be completed, have elapsed, (time) be up	1591	UP	other
9021	until (time)	2753	UNTIL	other
9019	untie, set loose (e.g. animal)	352	UNTIE	verb
9020	untie, undo, loosen (knot)	352	UNTIE	verb
1007	(sb) be wild, ferocious, strong-willed, unsociable	2230	UNTAMED OR WILD	adjective
3974	ferocious, wild (person)	2230	UNTAMED OR WILD	adjective
9381	wild or bizarre behavior	2230	UNTAMED OR WILD	adjective
9004	unripe (fruit)	1958	UNRIPE	adjective
9005	unripe (grain)	1958	UNRIPE	adjective
2245	become not sweet, unpleasant	26	UNPLEASANT	adjective
6283	not sweet, unpleasant (taste)	26	UNPLEASANT	adjective
8499	take off (one's hat)	1755	UNDRESS	verb
8500	take off (shoes)	1755	UNDRESS	verb
8501	take off, doff (garment)	1755	UNDRESS	verb
8973	undress (sb)	1755	UNDRESS	verb
8984	ungird oneself of, take off (loincloth)	1755	UNDRESS	verb
8985	ungird oneself of, take off (woman's wrap)	1755	UNDRESS	verb
8989	unhook, take off (sth hanging)	1755	UNDRESS	verb
9011	unroll, take off (turban)	1755	UNDRESS	verb
8970	understand	1536	UNDERSTAND	verb
8961	uncover, remove blanket or sheet from (sb, sth)	1108	UNCOVER	verb
8962	uncover, reveal (sth hidden)	1108	UNCOVER	verb
8963	uncover, take off the covering (e.g. a cloth) of (jar, etc.)	1108	UNCOVER	verb
8943	umbilical cord (at birth)	2663	UMBILICAL CORD	noun
8940	ugly	1548	UGLY	adjective
8941	ugly (man)	1548	UGLY	adjective
8942	ugly (woman)	1548	UGLY	adjective
730	(milk) fill up (in breast or udder)	154	UDDER	noun
8939	udder	154	UDDER	noun
7503	sew together (a hem at the turned-over end of a garment, or two or more layers of cloth in a garment or bag)	1498	TWO	numeral
8920	two	1498	TWO	numeral
8926	two or three bands of cow-tail hide that hold the barrel tightly to the stock of a rifle	1498	TWO	numeral
8915	twist (end of garment, to wring it out)	430	TWIST	verb
8908	twin (object), one of a pair	1005	TWINS	noun
8909	twin (person)	1005	TWINS	noun
6576	pick one's teeth (with chewstick or twig)	3222	TWIG	noun
7899	small stick, twig	3222	TWIG	noun
8904	twice	1546	TWICE	other
8903	twenty	1710	TWENTY	numeral
8902	twelve	1707	TWELVE	numeral
1137	(sb, sth) turn around (e.g. to look)	1444	TURN AROUND	verb
8888	turn (sth) around	1444	TURN AROUND	verb
8889	turn around (and go back)	1444	TURN AROUND	verb
8898	turn over (earth in field, with daba, to hold rainwater or to weed around peanut plants)	1445	TURN (SOMETHING)	verb
952	(sb's) turn (in a rotation)	1588	TURN	verb
1253	(sth, sb) turn or flip over onto its other side	1588	TURN	verb
8886	turn (one's neck and head)	1588	TURN	verb
8899	turn, veer, change direction	1588	TURN	verb
1580	Tuesday	1695	TUESDAY	noun
7002	reappear, emerge on the far side (e.g. of a forest or tube)	2956	TUBE	noun
8878	tube (e.g. water pipe)	2956	TUBE	noun
8876	truth	1638	TRUTH	noun
6790	primary, ordinary, authentic, real, true (species, type)	1657	TRUE	adjective
6466	pants	809	TROUSERS	noun
6467	pants (modern)	809	TROUSERS	noun
2507	break off a small strip of (stem or trunk, with the grain)	344	TREE TRUNK	noun
7774	slightly curved (road, tree trunk, molar tooth)	344	TREE TRUNK	noun
8872	trunk (of tree)	344	TREE TRUNK	noun
8380	stump (of a chopped-down tree)	241	TREE STUMP	noun
8381	stump (of a cut-down millet stem)	241	TREE STUMP	noun
8382	stump (of a fallen tree)	241	TREE STUMP	noun
425	(e.g. stick) be leaning (e.g. against a wall or tree)	906	TREE	noun
844	(person, animal, tree, etc.) be in (sth)	906	TREE	noun
845	(person, animal, tree, etc.) not be in (sth)	906	TREE	noun
1129	(sb, sth) be on (e.g. roof, tree)	906	TREE	noun
1942	at the highest part, at the summit (of mountain or tree)	906	TREE	noun
2890	chop off green branches from a shrub or tree (for firewood)	906	TREE	noun
3773	entire plant or tree (compound final)	906	TREE	noun
8302	straight and long or tall (staff, tree, person)	906	TREE	noun
8841	tree or large woody shrub	906	TREE	noun
8827	tread on, step on, trample	575	TREAD	verb
4389	go through (e.g. field)	1742	TRAVERSE	verb
8823	travel	3665	TRAVEL	verb
1110	(sb) trap (animal)	1075	TRAP (PITFALL)	noun
5474	light chain (e.g. for necklace or animal trap)	1075	TRAP (PITFALL)	noun
8813	trap	1075	TRAP (PITFALL)	noun
8814	trap (for animals)	1075	TRAP (PITFALL)	noun
8815	trap (for giant pouched rat)	1075	TRAP (PITFALL)	noun
8816	trap (for grasshoppers)	1075	TRAP (PITFALL)	noun
8817	trap (large)	1075	TRAP (PITFALL)	noun
8818	trap (with metal teeth)	1075	TRAP (PITFALL)	noun
8811	translate, interpret (sth, from one language to another)	2906	TRANSLATE	verb
3823	exchange (verb), trade, barter	898	TRADE	verb
8795	toy (all kinds)	2403	TOY	noun
5728	make a trip, travel (to another village or town)	1391	TOWN	noun
6211	neighborhood, quarter (section of a village or town)	1391	TOWN	noun
1301	(tree, person) be very tall, tower	1671	TOWER	noun
510	(from X) to (X), every X	2754	TOWARDS	other
8792	toward (sb)	2754	TOWARDS	other
8793	toward, in the direction of (sth)	2754	TOWARDS	other
8791	touch (with hand)	1892	TOUCH	verb
8779	torch (still used e.g. for smoking bees out of hive)	1919	TORCH	noun
2582	brush one's teeth (with chewstick or toothbrush)	2579	TOOTHBRUSH	noun
8773	tooth	1380	TOOTH	noun
9108	very large, oversized (e.g. eyes, teeth) (intensifier)	1380	TOOTH	noun
3327	deadly disease of babies affecting the mouth, tongue, and digestive system (outbreak in Douentza area c. 1999)	1205	TONGUE	noun
8770	tongue	1205	TONGUE	noun
8769	tongs (blacksmith's large pliers-like instrument)	272	TONGS	noun
276	(defocalized simple perfective: ending, tone)	2995	TONE (MUSIC)	noun
8764	tomorrow	1329	TOMORROW	other
2247	become ripe and soft all the way through (fig, tomato)	986	TOMATO	noun
8759	toilet (with hole in ground)	219	TOILET	noun
8755	toenail	2662	TOENAIL	noun
8756	toenail (of quadruped)	2662	TOENAIL	noun
6549	person without fingers or toes	1389	TOE	noun
8753	toe	1389	TOE	noun
8752	today	1283	TODAY	other
3162	craving, urge (for tea, tobacco, etc.)	974	TOBACCO	noun
3807	evil dwarf with thick head and fat body (thought to inhabit caves, can be placated with peanuts or tobacco)	974	TOBACCO	noun
8746	tobacco (leaves, or for cigarettes)	974	TOBACCO	noun
2194	be tired, weary, suffering (physically)	1757	TIRED	adjective
7849	small gift or tip (often price of kola)	2992	TIP (OF OBJECT)	noun
8729	time, moment in time	892	TIME	noun
523	(garment) be tight, too small	3053	TIGHT	adjective
8714	tight (e.g. screw)	3053	TIGHT	adjective
8715	tight, taut (rope)	3053	TIGHT	adjective
8705	tie (knot)	1917	TIE	verb
8709	tie on firmly, bind (sth hanging, e.g. water can tied to donkey cart) with a short rope	1917	TIE	verb
8710	tie or wrap up (sth long and thin) by coiling a rope etc. around it	1917	TIE	verb
8712	tie, tie up (sth or sb, with a rope)	1917	TIE	verb
8704	tickle (sb)	3647	TICKLE (SOMEBODY)	verb
1571	Thursday	1693	THURSDAY	noun
887	(rainstorm) thunder(s)	1150	THUNDER	noun
8298	storm (father), agent that produces lightning or thunder	1150	THUNDER	noun
8699	thunder (noun)	1150	THUNDER	noun
8697	thumb	1781	THUMB	noun
8692	throw away, discard (e.g. trash)	3696	THROW AWAY	verb
8689	throw (e.g. stone)	1456	THROW	verb
8687	throat (exterior)	1346	THROAT	noun
8688	throat (interior)	1346	THROAT	noun
8681	three times	417	THREE TIMES	other
8680	three	492	THREE	numeral
8679	threaten (scare)	1192	THREATEN	verb
1109	(sb) thread (e.g. a thread, through a needle)	1161	THREAD	noun
8678	thread (any kind)	1161	THREAD	noun
8677	thousand	1843	THOUSAND	numeral
8675	thought (noun)	2975	THOUGHT	noun
8670	thorn	124	THORN	noun
8668	this year	513	THIS YEAR	other
8666	this (proximate only, all unpredictable forms)	1214	THIS	other
8669	this/that (broad deictic, all unpredictable forms)	1214	THIS	other
8665	thirty	1715	THIRTY	numeral
8664	thirteen	1708	THIRTEEN	numeral
2193	be thirsty	847	THIRSTY	adjective
8663	thirst	848	THIRST	noun
6481	part, fraction of an object (half, third, etc.)	1859	THIRD	other
8660	third (ordinal)	1859	THIRD	other
8656	think (of or about sth)	2271	THINK	verb
8655	thing (general term)	738	THING	noun
7729	skinny, emaciated	1400	THIN (SLIM)	adjective
7761	slender, slim, thin (person)	1400	THIN (SLIM)	adjective
8350	stripe (wide or thin)	2308	THIN	adjective
8638	thin (linear object, e.g. pole)	2308	THIN	adjective
8639	thin (planar object, e.g. wall)	2308	THIN	adjective
8640	thin (thread)	2308	THIN	adjective
8641	thin (wall) (lightweight)	2308	THIN	adjective
9434	woman's head shawl (black, nylon, thin)	2308	THIN	adjective
8635	thief	1160	THIEF	noun
8620	thick (brick wall, made by placing the bricks sideways to each other)	1244	THICK	adjective
8621	thick (e.g. book, baby's buttocks) (adverb)	1244	THICK	adjective
8622	thick (e.g. tree trunk, wall) (adverb)	1244	THICK	adjective
8623	thick (linear object) (intensifier)	1244	THICK	adjective
8624	thick (linear object, e.g. tree trunk), massive	1244	THICK	adjective
8625	thick (liquid, like honey, or milk left for a day)	1244	THICK	adjective
8626	thick (planar object, e.g. wall)	1244	THICK	adjective
8627	thick (skin, as of reptile)	1244	THICK	adjective
8628	thick (tree trunk, person's torso) (intensifier)	1244	THICK	adjective
1244	(sth) not exist, there is/are not	2152	THERE IS OR THERE ARE	verb
3830	exist, there is/are	2152	THERE IS OR THERE ARE	verb
8615	there (logophoric)	1937	THERE	other
8618	there, in that (same) place	1937	THERE	other
8591	that (far-distant, all unpredictable forms)	78	THAT	other
8592	that (near-distant, all unpredictable forms)	78	THAT	other
8593	that (nonproximal deictic, near- and far-distant, all unpredictable forms)	78	THAT	other
8585	thank (sb)	2412	THANK (SOMEBODY)	verb
8582	testicles	797	TESTICLES	noun
8577	tent	1316	TENT	noun
8576	tendon, sinew, nerve	1137	TENDON	noun
8572	ten	1515	TEN	numeral
8571	temple, side of eye	911	TEMPLE	noun
6150	narrate, tell (story)	1711	TELL	verb
8563	tell (a riddle) (verb only)	1711	TELL	verb
7191	rip, tear (sth)	1735	TEAR (SHRED)	verb
8557	tears (liquid)	1651	TEAR (OF EYE)	noun
8555	teach (students, subject matter)	709	TEACH	verb
8556	teach, instruct (sb, how to do sth)	709	TEACH	verb
6452	packet (of sugar, tea, cigarettes)	1373	TEA	noun
6743	pour (hot water, tea, coffee) into glass	1373	TEA	noun
8552	tea	1373	TEA	noun
8992	unit (e.g. cigarette, stick of chalk, tea, candy)	1373	TEA	noun
8551	tax	873	TAX	noun
3355	delicious (taste)	1813	TASTY	adjective
8548	tasty, adequately sugared or salted (adverb)	1813	TASTY	adjective
8544	taste (a food, etc.)	21	TASTE (SOMETHING)	verb
8546	taste (sth, by licking)	21	TASTE (SOMETHING)	verb
8547	taste, sample a small piece of (e.g. roast meat, before buying)	21	TASTE (SOMETHING)	verb
8545	taste (noun)	2190	TASTE	noun
1100	(sb) strip off (leaves from a branch, a few at a time, as with roselle, tamarind, or baobab)	35	TAMARIND	noun
8066	spear for knocking fruits off trees (mango, tamarind, guava, baobab)	35	TAMARIND	noun
8519	tall (person), lofty (tree)	3346	TALL (PERSON)	other
559	(head of family) take out (e.g. daily rations, daily food expenses)	3654	TAKE OUT	verb
8502	take out (grain, from mortar) by scooping with the hand	3654	TAKE OUT	verb
8947	un-put, take out (sth that had been put in a container)	3654	TAKE OUT	verb
582	(herder) take (sheep, goats) to pasture before daybreak, leaving around 4-5 AM and returning around 7-8 AM	1749	TAKE	verb
8354	stroll, take (a walk) (verb only)	1749	TAKE	verb
8460	take (a long break, in the fields, around 2 PM) (specific verb)	1749	TAKE	verb
8461	take (a short break, in the fields, around 2:30 PM) (specific verb)	1749	TAKE	verb
8462	take (a step)	1749	TAKE	verb
8467	take (sth) (general word)	1749	TAKE	verb
8508	take, appropriate (sth, perhaps illicitly)	1749	TAKE	verb
8509	take, convey (sth, somewhere)	1749	TAKE	verb
8510	take, snort (snuff tobacco)	1749	TAKE	verb
6831	pull back (outstretched arm, tail, etc.)	1220	TAIL	noun
8459	tail (of scorpion)	1220	TAIL	noun
8613	the tail (last position in a race)	1220	TAIL	noun
8456	table, selling stand	1775	TABLE	noun
8453	sword, saber (any type)	1535	SWORD	noun
8448	swing (e.g. arms, as one walks)	2871	SWING (MOVEMENT)	verb
3601	dupe, cheat, trick (sb)	3055	SWINDLE	verb
8443	swim (verb only)	1439	SWIM	verb
8444	swim, go swimming	1439	SWIM	verb
8445	swimming (noun)	1439	SWIM	verb
113	(a) swelling (of a wound)	1903	SWELLING	noun
2614	bump (sb, from behind)	1903	SWELLING	noun
308	(e.g. belly) swell	1573	SWELL	verb
1401	(wound) be swollen, infected	1573	SWELL	verb
8452	swollen or oversized testicles	1573	SWELL	verb
2727	cassava (manioc) or sweet potato	159	SWEET POTATO	noun
4655	having a crispy, fried-in-oil taste (meat, eggs, sweet potato, etc.)	159	SWEET POTATO	noun
8434	sweet potato	159	SWEET POTATO	noun
8440	sweet, sugary (taste)	717	SWEET	adjective
8430	sweep (ground, courtyard)	230	SWEEP	verb
8429	sweat (noun), perspiration	125	SWEAT (SUBSTANCE)	noun
1105	(sb) sweat, perspire	126	SWEAT (PERSPIRE)	verb
8426	swear (the truth of an assertion, invoking God)	1939	SWEAR	verb
8427	swear (verb only)	1939	SWEAR	verb
437	(e.g. tree) sway	573	SWAY	verb
457	(entire tree including trunk) sway, be jittery	573	SWAY	verb
468	(extremities) sway (e.g. tree branches, in the wind)	573	SWAY	verb
184	(birds, locusts) swarm (verb only)	2974	SWARM (OF BIRDS)	noun
185	(birds, locusts) swarm, form a swarm	2974	SWARM (OF BIRDS)	noun
1931	assemblage, gathering, heap, swarm	2974	SWARM (OF BIRDS)	noun
8423	swarm (e.g. of insects or birds)	2974	SWARM (OF BIRDS)	noun
8422	swallow	897	SWALLOW	verb
961	(sb) be amazed, surprised	1572	SURPRISED	adjective
2078	be better (than sb/sth), surpass	402	SURPASS	verb
8417	surname, family (=clan) name	3426	SURNAME	noun
1800	along (wall, surface, line)	547	SURFACE	noun
8412	sunset	2295	SUNSET	noun
1566	Sunday	1699	SUNDAY	noun
8409	sun	1343	SUN	noun
4516	gunpowder (combination of a kind of soda ash, sulphur, and charcoal)	3386	SULPHUR	noun
6095	munch on and suck (kola, sugar cane)	146	SUGAR CANE	noun
8405	sugar cane	146	SUGAR CANE	noun
8404	sugar	862	SUGAR	noun
2098	be enough, suffice	3475	SUFFICE	other
8403	suddenly, abruptly (interjection)	2920	SUDDENLY	other
8397	suck (e.g. candy)	1421	SUCK	verb
451	(effort) turn out well, succeed	1112	SUCCEED	verb
8389	stutter (verb only)	1866	STUTTER	verb
8390	stutter, stammer	1866	STUTTER	verb
2189	be stupid	1518	STUPID	adjective
8378	stumble, stub one's toe (e.g. on a stone)	3617	STUMBLE	verb
8379	stumble, trip (on a stone that catches one's foot)	3617	STUMBLE	verb
8375	study (verb only)	1929	STUDY	verb
8365	stubborn (eye-hardened)	3634	STUBBORN	adjective
8366	stubborn (head-big)	3634	STUBBORN	adjective
8367	stubborn (head-hardened)	3634	STUBBORN	adjective
8368	stubborn (head-lost)	3634	STUBBORN	adjective
8369	stubborn (heart-big)	3634	STUBBORN	adjective
8370	stubborn (neck-hardened)	3634	STUBBORN	adjective
8371	stubborn (neck-lost)	3634	STUBBORN	adjective
8372	stubborn (rear.end-hard)	3634	STUBBORN	adjective
2186	be strong, powerful	785	STRONG	adjective
8355	strong (odor)	785	STRONG	adjective
8358	strong or powerful person	785	STRONG	adjective
8360	strong, effervescent millet beer	785	STRONG	adjective
8361	strong, powerful	785	STRONG	adjective
8362	strong, sweet millet beer (best quality)	785	STRONG	adjective
1277	(thread, string, rope) snap	362	STRING	noun
7938	snap, break (thread, string, rope by pulling or biting)	362	STRING	noun
